,S_0,S_1,E_0,E_1,Ia_0,Ia_1,Is_0,Is_1,H_0,H_1,U_0,U_1,R_0,R_1,D_0,D_1,Nw_0,Nw_1
0,0.9979129858622564,0.9983146080466685,0.0009999999999431755,0.000685391953776932,0.0009999999999927229,0.0009999999995545887,8.701413780764541e-05,8.584641012053719e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.701413780764541e-05,8.584641012053719e-26
1,0.9975421705239225,0.9981304522862269,0.001106767671258293,0.0006966452711853605,0.0009389509617171234,0.000799224118826376,0.00011124505915396513,0.00010447283212846486,6.390700047693063e-07,1.8440974610107409e-06,1.0519992787848207e-07,7.957103971243934e-07,0.0003001105119773471,0.0002665408171937396,1.1002037922594639e-08,2.4866581151929665e-08,0.00013605121478908508,0.00011803893731176336
2,0.9971731033056936,0.9979486406569281,0.0011885503459206205,0.000703401917718615,0.000909424361988405,0.0006489263343667194,0.0001339134049129193,0.00018712486546069524,1.2928524582026008e-06,6.501931778925303e-06,2.47333678198962e-07,2.960646323736984e-06,0.0005934236256831179,0.0005022606577291719,4.47696647427942e-08,1.8298969407942255e-07,0.0001894036811733376,0.00023754739407074005
3,0.9967984167582168,0.9977663717286156,0.0012573180958467592,0.0007091082752222847,0.0009003792931070568,0.0005363936206333735,0.00015461858035357493,0.00025240263767046617,1.9481616244488486e-06,1.2925486216434211e-05,4.22400893881393e-07,6.203607272612486e-06,0.0008867946102542741,0.0007160255326939099,1.0209970317239095e-07,5.691116754436099e-07,0.0002462167702452825,0.00035808506758010477
4,0.9964136709677387,0.9975819135588708,0.00131983815889709,0.0007155145975520525,0.0009051062002493636,0.00045224035012204146,0.00017341799225572868,0.0003041427064876523,2.593700450506196e-06,2.03586584248522e-05,6.261217885160645e-07,1.0285800078571084e-05,0.0011845635398419602,0.000914298762008219,1.8331877812160176e-07,1.2455664559011725e-06,0.00030605826772824084,0.00047963945678684004
5,0.9960160783451288,0.9973941376438866,0.0013799363840448187,0.0007234562069937398,0.0009194629550167993,0.0003894946147108416,0.0001905660092470033,0.0003455200208888729,3.2215594248853358e-06,2.827155345772751e-05,8.543495602680638e-07,1.5014948174278828e-05,0.001489592018143732,0.0011018539358033214,2.8837943370055e-07,2.2510760846247114e-06,0.00036873535530118254,0.0006024107140694317
6,0.9956037789192279,0.9972022541274191,0.0014397808496867278,0.0007332876271941938,0.0009408482483632088,0.00034295884819959176,0.00020637906852968252,0.00037909005848321074,3.827277159039108e-06,3.6306319941811835e-05,1.103294409297679e-06,2.0238604076905364e-05,0.0018038653690939633,0.0012822569692819748,4.1697353023052844e-07,3.6074454032083735e-06,0.00043419081345333707,0.0007266960370628362
7,0.9951754250793438,0.9970056603005519,0.0015006146164077922,0.0007451220716527773,0.0009675932167788535,0.000308738826498258,0.00022117055590752967,0.00040687592736234583,4.409229938179e-06,4.4231768600462515e-05,1.3696310519682748e-06,2.5837302339253005e-05,0.002128849027102725,0.0014582089661746929,5.686434692335654e-07,5.32483682042846e-06,0.00050244405849583,0.0008528295998703179
8,0.9947299539633512,0.9968038577549122,0.0015631552233874764,0.000758955925675917,0.0009986135719878785,0.00028391174986031455,0.00023522391551807396,0.0004304607228752562,4.967900605304612e-06,5.190888137465255e-05,1.6505300318567627e-06,3.1718583758601784e-05,0.0024656920264048763,0.0016317807813634839,7.428687135073109e-07,7.405600179594617e-06,0.0005735592213792322,0.0009811541291079955
9,0.9942664518947342,0.9965964031602689,0.0016278311110168714,0.0007747383588773876,0.0010331929339761046,0.0002662807303354597,0.0002487824805139305,0.0004510715720543012,5.505224022415563e-06,5.926440531792071e-05,1.943650167352421e-06,3.781192759827426e-05,0.0028153535762866534,0.0018045827397856129,9.391292826346396e-07,9.847105762282754e-06,0.0006476264167463542,0.0011120069837695205
10,0.993784077267416,0.9963828803688607,0.0016949145646895875,0.0007924064970690751,0.0010708504253578459,0.00025418899147106234,0.00026204939101818353,0.0004696555004698099,6.0240186670616414e-06,6.627035115606924e-05,2.2471056546931605e-06,4.4064382861721476e-05,0.003178680275642742,0.001977890046710507,1.1569515539857685e-06,1.2643861401246484e-05,0.0007247513748332799,0.001245715187816109
11,0.9932820212944146,0.9961628862866269,0.001764588005605581,0.0008118996427297025,0.001111265813745348,0.0002463880864159861,0.00027519226532443425,0.00048694076431450166,6.527569489196359e-06,7.292945840979261e-05,2.5594196861611676e-06,5.04370899477901e-05,0.0035564496960219507,0.0021527297225596397,1.395935712892431e-06,1.5788948995716386e-05,0.0008050504198909605,0.0013825953675746807
12,0.9927594808996454,0.995936021093933,0.001836989182654198,0.0008331678515026383,0.0011542254014620234,0.00024193537740887098,0.00028834800882323843,0.0005034863030928333,7.019335750596261e-06,7.926429774231381e-05,2.879475692998094e-06,5.6902422196280776e-05,0.003949401924259085,0.0023299475885513693,1.6557717126368652e-06,1.9275065572874957e-05,0.0008886471118101201,0.0015229545728629558
13,0.992215645472468,0.9957018834600828,0.0019122321856893721,0.0008561736369027193,0.0011995906996381206,0.0002401197693460966,0.0003016283274692455,0.0005197207133383809,7.502752531850004e-06,8.530963712857632e-05,3.2064685120268914e-06,6.344171740894828e-05,0.004358257847225992,0.002510255854568405,1.9362464656164025e-06,2.309521122413303e-05,0.0009756708035360619,0.001667092380209664
14,0.9916496886854361,0.9954600675391581,0.0019904198034202346,0.0008808918215813628,0.001247276828542872,0.0002404048991627104,0.0003151246459987726,0.0005359730662534761,7.981104987252618e-06,9.110696669733438e-05,3.539858260951481e-06,7.004343685910195e-05,0.004783731828004437,0.0026942691184955354,2.2372453494736223e-06,2.724315179242953e-05,0.0010662558655979554,0.0018153030453090617
15,0.9910607634304194,0.9952101610438101,0.002071650643275083,0.000907308548729507,0.0012972375450918193,0.00024238622227650358,0.00032891226466689446,0.0005524967830620028,8.457459015963442e-06,9.67007255315512e-05,3.879328258979635e-06,7.670169083531965e-05,0.005226540579502795,0.002882531277228537,2.558749769285807e-06,3.171370852652286e-05,0.0011605413042857647,0.0019678774929314416
16,0.990447999043903,0.994951744083704,0.002156022295247083,0.0009354194995204413,0.0013494548223372195,0.00024575665103608303,0.000343054173009724,0.0005694894178483999,8.934629285437386e-06,0.00010213565431469558,4.22474435683438e-06,8.341497133604163e-05,0.005687409460038125,0.003075536794467192,2.9008318227841974e-06,3.650292777312218e-05,0.0012586706893806825,0.002125105326842584
17,0.9898105002471607,0.9946843886782726,0.0022436324260375843,0.000965229120733166,0.0014039347670546142,0.00025029298393424397,0.0003576026039242653,0.0005871005043542727,9.415176700301916e-06,0.00010745590541063102,4.576136761341289e-06,9.018562825476384e-05,0.006167074991391583,0.0032737390548637844,3.2636509699742616e-06,4.160812417667223e-05,0.001360792147782373,0.0022872756897372474
