,S_0,S_1,E_0,E_1,Ia_0,Ia_1,Is_0,Is_1,H_0,H_1,U_0,U_1,R_0,R_1,D_0,D_1,Nw_0,Nw_1
0,0.9999782599669843,0.9998682736949108,3.174259445665076e-14,2.1503328875908806e-05,1.0922039998908358e-14,0.00011022186245826111,2.1740032973079594e-05,1.1137550538713903e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1740032973079594e-05,1.1137550538713903e-09
1,0.9999368885529676,0.9998467802737503,3.6490277512033343e-05,3.570079676957235e-05,3.5412659923217367e-06,8.407530257932776e-05,1.7834826401849586e-05,5.2564388130219156e-06,1.356850952975233e-07,8.777966853162998e-08,1.9349520050211333e-08,3.629899214054648e-08,5.089126844283536e-06,2.8062299616611452e-05,9.156663861289373e-10,8.098104814329627e-10,2.2723070766415198e-05,5.881545202619772e-06
2,0.9998993021582175,0.9998277179731936,6.164149947955176e-05,4.4640260128916576e-05,1.1403141855141697e-05,6.489859986253118e-05,1.6129060499069978e-05,1.1345772835786463e-05,2.4281973473973774e-07,3.7117498810860677e-07,3.6150755455099866e-08,1.552984041088847e-07,1.1241776805453112e-05,5.08640952346018e-05,3.3926528867144933e-09,6.825352339299503e-09,2.522745570244104e-05,1.4040403684462087e-05
3,0.9998621555442995,0.999809682443119,8.088819217041267e-05,5.071452451331486e-05,2.108163607874113e-05,5.079387936332597e-05,1.5768501078284634e-05,1.7388185092658614e-05,3.3555714504108215e-07,8.501251540212765e-07,5.1986393303408084e-08,3.598507344979997e-07,1.9711402274291428e-05,7.018727040487901e-05,7.1805602840738255e-09,2.372161815199256e-08,2.8832415107615248e-05,2.3681008598501515e-05
4,0.9998235745862537,0.999791855225198,9.717033070230687e-05,5.527147186794599e-05,3.1399537086932846e-05,4.04144397387566e-05,1.6269129738437204e-05,2.3022318584964007e-05,4.224549215671758e-07,1.5039571298542422e-06,6.783386816933453e-08,6.440395907991655e-07,3.1083959106651975e-05,8.723165222549667e-05,1.2168322177207234e-08,5.689566418505563e-08,3.3323291805390384e-05,3.437665226609125e-05
5,0.9997824719624065,0.9997737450178343,0.00011209798892303886,5.9078129222248346e-05,4.18397224200064e-05,3.278782318695092e-05,1.7348336021902662e-05,2.8144122095148692e-05,5.08897350689248e-07,2.30599879899648e-06,8.43312623582455e-08,9.98982022722306e-07,4.563043235509104e-05,0.00010282881908151656,1.8329260335525353e-08,1.1110775795294671e-07,3.85948059823238e-05,4.590510402699651e-05
6,0.9997382029529395,0.9997550529144322,0.00012653317332212614,6.256138785165052e-05,5.222581997324139e-05,2.7209288917876328e-05,1.8840563850381424e-05,3.277772091085579e-05,5.983305654105305e-07,3.2299620806575234e-06,1.0191130362096359e-07,1.415431445566614e-06,6.347155607320504e-05,0.00011756288470157015,2.569197245607101e-08,1.9040965938845807e-07,4.460319713141668e-05,5.816321010465956e-05
7,0.9996903485521917,0.9997355848324616,0.00014095405711219588,6.596364225719922e-05,6.253108867272979e-05,2.3161713209882988e-05,2.0644123343912115e-05,3.699719388336578e-05,6.930643616909883e-07,4.253160960128635e-06,1.2088732275200257e-07,1.885150444398891e-06,8.467390636318624e-05,0.00013185612086648272,3.432063171192705e-08,2.98185916662051e-07,5.1336549187818585e-05,7.111203175821064e-05
8,0.9996386135034757,0.999715207682166,0.00015562368641048598,6.941984947398536e-05,7.279896392458908e-05,2.026441229277391e-05,2.2696107543501716e-05,4.0893256450282325e-05,7.946751621357697e-07,5.357172375597301e-06,1.4149544098635347e-07,2.4012724631540265e-06,0.00010928726374333567,0.00014601908990175103,4.430429914042141e-08,4.3726487619257103e-07,5.8801349207918545e-05,8.475006398848969e-05
9,0.999582763464962,0.9996938218018934,0.00017069295420636536,7.300552952921867e-05,8.309723962953118e-05,1.8236644816517333e-05,2.495672774560181e-05,4.4554697467104275e-05,9.042700610186072e-07,6.527875110072261e-06,1.6392190471575269e-07,2.9584008911130694e-06,0.0001373656717734121,0.00016028502396450267,5.5749717096754825e-08,6.100263277638784e-07,6.701440339307265e-05,9.90967645913054e-05
10,0.9995225893555949,0.9996713442482255,0.0001862587982598569,7.676551968060103e-05,9.349665016957168e-05,1.686794257737119e-05,2.7399763635508316e-05,4.8060892907544795e-05,1.0226640961461432e-06,7.754848441132344e-06,1.8832129991046225e-07,3.552448716614799e-06,0.00016897567094627055,0.00017483557768585995,6.877599758730293e-08,8.185217650834538e-07,7.599829687225054e-05,0.0001141828465739429
11,0.9994578919320445,0.9996477011008343,0.00020238788175784827,8.072670371098968e-05,0.00010406459616285892,1.6001849153611367e-05,3.0008473835938695e-05,5.1480007751300065e-05,1.1504663721595721e-06,9.030853617223236e-06,2.1482519502817204e-07,4.180484676204535e-06,0.0002041983125653009,0.0001898144425994645,8.351206611477674e-08,1.0645576564933654e-06,8.577973065865028e-05,0.00013004622070254544
12,0.9993884721807766,0.9996228224896291,0.00021913102640601888,8.490599707554042e-05,0.00011486266801357389,1.552282549766187e-05,3.2772788601952034e-05,5.486923491398448e-05,1.2881451237411211e-06,1.0351278845561575e-05,2.435487705114105e-07,4.840556495075481e-06,0.00024312954759593113,0.00020533784716600243,1.0009471138747331e-07,1.349770376754526e-06,9.638854988506015e-05,0.00014672956763786093
13,0.9993141229916602,0.9995966382928492,0.00023653585885608508,8.931723187012618e-05,0.00012594459310744067,1.5344217079158516e-05,3.568674470170889e-05,5.8275345483020786e-05,1.4360872945642408e-06,1.171360419250271e-05,2.7459706147811724e-07,5.531516912731718e-06,0.0002858804604862968,0.0002215040962531177,1.1866683192255895e-07,1.6756953598075992e-06,0.0001078568737692956,0.00016427825602483668
14,0.999234627760035,0.9995690770503547,0.0002546480422259594,9.397243791109882e-05,0.000137358678353758,1.5401356400359265e-05,3.874772135773586e-05,6.173700608464179e-05,1.5946259939538778e-06,1.3116933511563358e-05,3.0806798109587985e-07,6.252862968584707e-06,0.00033257572736868866,0.00023839853485772624,1.3937668351504728e-07,2.0438179109550574e-06,0.0001202191291288382,0.00018274018583367224
15,0.9991497588066693,0.9995400649910939,0.0002735127320766807,9.888295255576732e-05,0.00014914937324905016,1.564624640740179e-05,4.195577585082815e-05,6.52864927298855e-05,1.7640632023009208e-06,1.456164377026265e-05,3.4405494952053443e-07,7.004615954051743e-06,0.0003833528165954365,0.0002560974438456755,1.6237740650124902e-07,2.4556136426477007e-06,0.0001335120753669501,0.00020216567770741072
16,0.9990592741111527,0.9995095247101319,0.0002931767576537452,0.00010406058296646914,0.00016135784859933443,1.604396857683844e-05,4.5313112326061956e-05,6.895066301971867e-05,1.944691266025608e-06,1.604917803400034e-05,3.8264950098957074e-07,7.787258619295057e-06,0.00043836300232897435,0.00027467105067118224,1.8782717185133078e-07,2.912587980149207e-06,0.0001477750230603486,0.00022260760248973154
17,0.9989629174555921,0.9994773749420532,0.0003136889844611671,0.00010951792758158052,0.00017402341832888134,1.6568403139061675e-05,4.8823525931978655e-05,7.275269353853061e-05,2.136808043393574e-06,1.75817325868574e-05,4.23943355312208e-07,8.601619045919571e-06,0.000497769975572342,0.0002941863804621972,2.158887145162904e-07,3.4163015921327754e-06,0.00016304973199864284,0.00024412130475820156
18,0.9988604258380877,0.9994435325359363,0.00033509917828877464,0.00011526790410298129,0.00018718504038451927,1.7196357477360724e-05,5.249141095662079e-05,7.671465084674379e-05,2.3407184302780437e-06,1.9161765847038752e-05,4.6802917031321494e-07,9.448652402652834e-06,0.0005617430576680502,0.0003147097829466541,2.4672701345855876e-07,3.968350439871996e-06,0.00017937914692503384,0.00026676339145910666
19,0.9987515108569087,0.9994079073453759,0.0003574605346786556,0.00012132467996234663,0.00020087961659608387,1.7917403924914656e-05,5.6323635990822875e-05,8.085355213275761e-05,2.556747417456381e-06,2.0792854848208293e-05,5.150019460501253e-07,1.0329842698401085e-05,0.0006304730910719152,0.0003363038707554891,2.8051539000830704e-07,4.570450301629768e-06,0.00019681063725255816,0.00029059510053187573
20,0.9986358771659685,0.9993704071228543,0.0003808273441673947,0.00012770285544145852,0.00021514485974944916,1.8720771984209817e-05,6.032724112852452e-05,8.518676085606807e-05,2.7852385942379316e-06,2.2478599964146737e-05,5.649595641367203e-07,1.1246710254905171e-05,0.0007041557614166513,0.00035903280461540524,3.1742941088398813e-07,5.224374028990405e-06,0.00021539275042797398,0.00031567901451102695
21,0.9985132054277436,0.9993309327198664,0.0004052573841748919,0.0001344183552695838,0.00023001867097639168,1.9601796831861854e-05,6.451081935580069e-05,8.972955038832805e-05,3.026574878319172e-06,2.4223219605657483e-05,6.180055955584624e-07,1.2201106838987854e-05,0.0007830054648097143,0.0003829612058148682,3.5765246540035893e-07,5.932045383832435e-06,0.00023517816341798165,0.0003420822105409835
