,date,state,UF,city,cod_city,totalcasos,casos_preditos
0,2020-02-25,São Paulo,35,São Paulo,3550308,1.0,0.9889271237285563
1,2020-02-26,São Paulo,35,São Paulo,3550308,1.0,1.263499773217249
2,2020-02-27,São Paulo,35,São Paulo,3550308,1.0,1.6143066952203782
3,2020-02-28,São Paulo,35,São Paulo,3550308,1.0,2.0625141068270376
4,2020-02-29,São Paulo,35,São Paulo,3550308,2.0,2.6351649618103083
5,2020-03-01,São Paulo,35,São Paulo,3550308,2.0,3.366810608939537
6,2020-03-02,São Paulo,35,São Paulo,3550308,2.0,4.301595475328649
7,2020-03-03,São Paulo,35,São Paulo,3550308,2.0,5.495920555862846
8,2020-03-04,São Paulo,35,São Paulo,3550308,3.0,7.021846412475142
9,2020-03-05,São Paulo,35,São Paulo,3550308,6.0,8.971441005964296
10,2020-03-06,São Paulo,35,São Paulo,3550308,10.0,11.462334690275107
11,2020-03-07,São Paulo,35,São Paulo,3550308,12.0,14.644817534277735
12,2020-03-08,São Paulo,35,São Paulo,3550308,15.0,18.710907193649653
13,2020-03-09,São Paulo,35,São Paulo,3550308,15.0,23.905934450185484
14,2020-03-10,São Paulo,35,São Paulo,3550308,18.0,30.54334544134373
15,2020-03-11,São Paulo,35,São Paulo,3550308,43.0,39.02361368442618
16,2020-03-12,São Paulo,35,São Paulo,3550308,62.0,49.858402967541394
17,2020-03-13,São Paulo,35,São Paulo,3550308,62.0,63.7014389947647
18,2020-03-14,São Paulo,35,São Paulo,3550308,62.0,81.38795245097337
19,2020-03-15,São Paulo,35,São Paulo,3550308,132.0,103.98507331531872
20,2020-03-16,São Paulo,35,São Paulo,3550308,145.0,132.85621700466896
21,2020-03-17,São Paulo,35,São Paulo,3550308,157.0,169.74334713664558
22,2020-03-18,São Paulo,35,São Paulo,3550308,214.0,216.872078302058
23,2020-03-19,São Paulo,35,São Paulo,3550308,,277.08596030683566
24,2020-03-20,São Paulo,35,São Paulo,3550308,,354.0180460309292
25,2020-03-21,São Paulo,35,São Paulo,3550308,,452.3100945885971
26,2020-03-22,São Paulo,35,São Paulo,3550308,,577.8926355886165
27,2020-03-23,São Paulo,35,São Paulo,3550308,,738.3427923962511
28,2020-03-24,São Paulo,35,São Paulo,3550308,,943.3414539505719
29,2020-03-25,São Paulo,35,São Paulo,3550308,,1205.2573789655069
30,2020-03-06,Bahia,29,Feira de Santana,2910800,1.0,1.3506421614469526
31,2020-03-07,Bahia,29,Feira de Santana,2910800,2.0,1.5589479244302153
32,2020-03-08,Bahia,29,Feira de Santana,2910800,2.0,1.7993801026332972
33,2020-03-09,Bahia,29,Feira de Santana,2910800,2.0,2.0768934632219977
34,2020-03-10,Bahia,29,Feira de Santana,2910800,2.0,2.397206933244235
35,2020-03-11,Bahia,29,Feira de Santana,2910800,3.0,2.766921453871407
36,2020-03-12,Bahia,29,Feira de Santana,2910800,3.0,3.1936560109697703
37,2020-03-13,Bahia,29,Feira de Santana,2910800,4.0,3.6862046452863875
38,2020-03-14,Bahia,29,Feira de Santana,2910800,4.0,4.2547176778769105
39,2020-03-15,Bahia,29,Feira de Santana,2910800,5.0,4.910910885424234
40,2020-03-16,Bahia,29,Feira de Santana,2910800,,5.668306936081491
41,2020-03-17,Bahia,29,Feira de Santana,2910800,,6.542514061289872
42,2020-03-18,Bahia,29,Feira de Santana,2910800,,7.551547706371473
43,2020-03-19,Bahia,29,Feira de Santana,2910800,,8.716201788393477
44,2020-03-20,Bahia,29,Feira de Santana,2910800,,10.06047721209436
45,2020-03-21,Bahia,29,Feira de Santana,2910800,,11.612076474622897
46,2020-03-22,Bahia,29,Feira de Santana,2910800,,13.402974551782703
47,2020-03-23,Bahia,29,Feira de Santana,2910800,,15.470077830465597
48,2020-03-24,Bahia,29,Feira de Santana,2910800,,17.855984666391183
49,2020-03-25,Bahia,29,Feira de Santana,2910800,,20.60986324053944
50,2020-03-07,Rio de Janeiro,33,Rio de Janeiro,3304557,1.0,4.009624442665389
51,2020-03-08,Rio de Janeiro,33,Rio de Janeiro,3304557,2.0,5.01472981542833
52,2020-03-09,Rio de Janeiro,33,Rio de Janeiro,3304557,6.0,6.2717881640379005
53,2020-03-10,Rio de Janeiro,33,Rio de Janeiro,3304557,6.0,7.843957346125955
54,2020-03-11,Rio de Janeiro,33,Rio de Janeiro,3304557,12.0,9.810227201333058
55,2020-03-12,Rio de Janeiro,33,Rio de Janeiro,3304557,14.0,12.269388204833522
56,2020-03-13,Rio de Janeiro,33,Rio de Janeiro,3304557,17.0,15.344994955922342
57,2020-03-14,Rio de Janeiro,33,Rio de Janeiro,3304557,22.0,19.191573880148262
58,2020-03-15,Rio de Janeiro,33,Rio de Janeiro,3304557,22.0,24.00238703597869
59,2020-03-16,Rio de Janeiro,33,Rio de Janeiro,3304557,29.0,30.019142099692523
60,2020-03-17,Rio de Janeiro,33,Rio de Janeiro,3304557,,37.544136383216525
61,2020-03-18,Rio de Janeiro,33,Rio de Janeiro,3304557,,46.95544503172195
62,2020-03-19,Rio de Janeiro,33,Rio de Janeiro,3304557,,58.72591649525029
63,2020-03-20,Rio de Janeiro,33,Rio de Janeiro,3304557,,73.44692965591594
64,2020-03-21,Rio de Janeiro,33,Rio de Janeiro,3304557,,91.8581062301065
65,2020-03-22,Rio de Janeiro,33,Rio de Janeiro,3304557,,114.88447127349566
66,2020-03-23,Rio de Janeiro,33,Rio de Janeiro,3304557,,143.68292882860302
67,2020-03-24,Rio de Janeiro,33,Rio de Janeiro,3304557,,179.70038777145186
68,2020-03-25,Rio de Janeiro,33,Rio de Janeiro,3304557,,224.74645824996412
