state,coef_a,coef_b,rmse,y
Brasil,0.702246749830983,0.28542793548412637,140.75640212961184,1;1;1;1;2;2;2;2;3;9;14;19;25;29;34;70;110;120;146;233;300;339;509
São Paulo,0.6461710193548085,0.2567848911983036,87.60697293604748,1;1;1;1;2;2;2;2;3;6;10;13;16;16;19;45;64;64;65;136;152;164;241
Espírito Santo,0.22942774014590384,0.2771767489358857,0.41478783085940135,1;1;1;1;1;1;1;2;2;4;4;8;8;11
Rio de Janeiro,1.8231488601498258,0.24357232386430958,17.148470880913894,1;1;2;3;8;8;14;16;19;24;24;31;33;63
Distrito Federal,0.22655133411859033,0.3572436317910125,2.039789914239511,1;1;1;1;1;2;2;3;3;8;14;19;21;34
Bahia,0.27879088197942925,0.3482061805369522,2.2937415866706075,1;2;2;2;2;3;3;7;7;9;10;16;28
Minas Gerais,0.15876639942953655,0.43665610813931416,0.6293838997671234,1;1;1;1;2;2;4;4;7;14;19
