state,beta,gamma,R0,S,I,R,y
Brasil,0.39727596076212107,0.07294602220640972,0.1836154950490145,-0.0014805168744841228,-0.015171197526880583,0.016651714401364707,1;1;1;1;2;2;2;2;3;8;13;19;25;30;35;69;109;120;147;231;301;363;535;695;1013;1206;1621;1960;2267;2564;2988;3468
São Paulo,0.3710414327854731,0.07591003029505268,0.20458639814206941,-0.00268600680989686,-0.01614059163869935,0.01882659844859621,1;1;1;1;2;2;2;2;3;6;10;13;16;16;19;45;64;64;65;136;152;164;244;287;396;459;631;745;810;862;1052;1223
Rio de Janeiro,0.41815375613516537,0.08200736342930166,0.19611772518143622,-0.006826449039555899,-0.0220145930448294,0.028841042084385298,1;1;2;3;8;8;14;16;19;24;24;31;39;63;66;109;119;186;231;303;370;421;493
Espírito Santo,0.3953746511538316,0.2,0.5058493239673689,-0.032099137027211774,0.002441923652847896,0.02965721337436388,1;1;1;1;1;1;1;2;2;4;4;8;8;11;13;16;26;26;33;40;40;48;54
Bahia,0.45659443684438256,0.2,0.43802548577297806,-0.02343435727568643,-0.011001352824819437,0.03443571010050587,1;2;2;2;2;3;3;7;7;9;10;16;27;31;34;41;55;63;79;91;108;123
Distrito Federal,0.5422868326587121,0.2,0.36880851231339024,-0.008910667523410487,-0.015783877751717926,0.024694545275128415,1;1;1;2;2;3;3;8;14;19;26;36;84;108;112;134;146;177;195;203;242
Alagoas,0.3363230992008223,0.2,0.5946662613280028,-0.013783813287880423,0.004389804458527996,0.009394008829352428,1;1;1;1;1;1;1;1;1;1;1;4;6;7;7;8;10;11;11;11
Minas Gerais,0.521380213854187,0.2,0.3835972188540578,-0.014371528751994378,-0.017068237387925456,0.031439766139919834,1;1;1;1;2;2;4;4;7;14;20;29;38;55;83;128;130;133;153;189
Rio Grande do Sul,0.5677635156196154,0.2,0.3522593377310177,-0.011948622957501607,-0.01956977204296692,0.031518395000468526,1;2;4;6;7;7;11;19;28;37;60;72;85;96;113;162;190;197
Pernambuco,0.4994430291640599,0.2,0.400446073568689,-0.03655807144457013,-0.00850216221416105,0.04506023365873118,2;2;7;8;18;19;22;28;31;33;37;42;42;46;48;57
Paraná,0.5602514265029761,0.2,0.356982580568115,-0.019756321265259915,-0.020717256114298473,0.04047357737955839,6;6;6;6;8;12;14;23;36;43;54;60;69;97;106;125
Santa Catarina,0.5923338319600457,0.2,0.33764743664597985,-0.013648786595006129,-0.02218953167967451,0.03583831827468064,2;3;5;6;7;7;15;22;41;58;69;87;110;122;149;163
Goiás,0.47663214877732407,0.2,0.4196108057608956,-0.043315607576073306,3.4156255107775646e-05,0.04328145132096553,3;3;4;4;9;10;12;15;18;20;21;23;29;35;39;49
Rio Grande do Norte,0.4098559264922091,0.18739961902745603,0.45723291262696497,-0.04082707522180431,0.012271045817965554,0.028556029403838754,1;1;1;1;1;1;1;1;6;9;13;13;14;14;19;28
Amazonas,0.5375168824796653,0.2,0.3720813364547041,-0.029412944921327813,-0.016360333197472206,0.04577327811880002,1;1;1;1;2;2;3;7;11;26;32;47;54;67;81
Mato Grosso do Sul,0.48399678349917974,0.2,0.41322588665579213,-0.04929500406889944,0.005497255607269179,0.04379774846163026,2;2;4;6;7;9;12;16;21;21;24;24;25;28
Sergipe,0.4394451535532495,0.2,0.45511936673518266,-0.04339959864020012,0.01423979111491637,0.02915980752528375,1;1;5;5;6;6;7;10;10;10;15;16;16;16
Ceará,0.7794735364718951,0.2,0.25658343823352014,-0.003667944506802898,-0.021051893920871617,0.024719838427674515,3;9;11;20;25;68;84;125;164;185;211;238;282
Acre,0.5570553185989859,0.2,0.3590307700553101,-0.05446504415719776,-0.00024549131543229186,0.05471053547263005,3;3;4;7;11;11;17;21;23;24;25
Pará,0.4233840749771328,0.11005628664538182,0.25994432277908897,-0.06808260572914403,0.038355400828019,0.029727204901125032,1;1;2;2;4;5;5;9;13;16
Maranhão,0.5927542744971466,0.2,0.33740794221967735,-0.07085376232948291,0.01309366065584358,0.05776010167363933,1;2;2;8;8;8;10;14
Mato Grosso,0.5766830417054197,0.2,0.3468109611972319,-0.07346643492785243,0.020228748917082172,0.05323768601077026,1;2;2;6;7;9;11;11
