state,beta0,alpha,kappa,gamma,sigma,lamb,mu,d,Susceptibles,Infectious,exposed,publicPerception,cumulativeCases,Removed,Population_size,y
Brasil,1.7672501200670738,0.12783392075305378,1641.2060852762277,0.0018293611206820493,0.5762754095450777,0.1887495220872636,0.0010672389267441943,1.7124242645596333,2.5064671296538427e-10,-1.4047369122224072,-1.2028282635682455e-06,-0.019860206857243323,-1.2004569651427336e-06,0.8548398778941462,1.1167587477734386,1;1;1;1;2;2;2;2;3;8;13;19;25;30;35;69;109;120;147;231;301;363;535;695;1013;1206;1621;1960;2267;2564;2988;3468
São Paulo,1.5741442060424808,0.3836164638903907,73.04970499855523,0.001826979779644189,0.32726531256898933,0.2890208880432653,0.00022777249561811708,1.2129161035145974,-1.6697295839852887e-07,-1.3906847032850294,-0.03362873535905582,-0.007767316853100059,-0.03360548159937573,1.2587105446017148,0.22998618647770067,1;1;1;1;2;2;2;2;3;6;10;13;16;16;19;45;64;64;65;136;152;164;244;287;396;459;631;745;810;862;1052;1223
Rio de Janeiro,1.2019601253769387,0.16918137565888053,151.91882135973125,0.009374794466005663,0.182403672967685,1.0977286541919138,0.00034836104601305637,0.35226941287559155,-0.029680514717599422,1.914952100415933,-7.317267813805422,0.010215205007985784,-7.3252821104969,5.192233198365294,0.3523975878150287,1;1;2;3;8;8;14;16;19;24;24;31;39;63;66;109;119;186;231;303;370;421;493
Espírito Santo,1.6666990945723839,0.6550267663940033,1298.4097398248587,0.12510477720249136,0.23445603061737277,1.9329519425259187,0.00021061644560810278,0.530757310666025,-36.0561067564001,8.006639983591846,-0.5567800626125177,0.2929012143394214,-26.921984894971104,18.847212477936903,0.21209645038831712,1;1;1;1;1;1;1;2;2;4;4;8;8;11;13;16;26;26;33;40;40;48;54
Bahia,0.7972777185524969,0.009941929813113906,260.5878642750309,0.23827572827449392,0.5602434815338415,1.238390463499077,0.0006917837042912378,0.2096858673054678,-6.171420552513304,-6.441110111164239,-1.8435001112590261,-0.27296672211396045,-5.1261471863362935,11.274434506337487,0.7074018335061037,1;2;2;2;2;3;3;7;7;9;10;16;27;31;34;41;55;63;79;91;108;123
Distrito Federal,1.0829252097429156,0.25715741387762275,1902.4721886392747,0.10637387611023646,0.5730088630965007,0.5566521969969884,0.0008738431513521457,0.6103649615471136,-0.6702050031201137,-9.0559975663188,-0.3385636691017358,-1.1913068672311793,-0.6588043897841271,9.343810115253207,0.8980737830315653,1;1;1;2;2;3;3;8;14;19;26;36;84;108;112;134;146;177;195;203;242
Alagoas,0.5758118337434945,0.5813971390366506,230.57377814538876,0.005452906218867397,0.15468939836168172,1.4613742434470947,0.006673675205121583,1.4382067740128073,-21.366024767760173,0.6980287110142869,-0.22087455936583156,0.0038894069218442517,-0.925724163160995,0.09397881727090014,8.156034220093158,1;1;1;1;1;1;1;1;1;1;1;4;6;7;7;8;10;11;11;11
Minas Gerais,1.7057335095074118,0.4612414949390945,246.00484740460075,0.1169458859106699,0.35353911560942225,0.7579206576917519,5.7514919638202225e-05,1.4822274579197696,-2.3267855672828475,-21.291749905831306,-7.32680503966316,-4.469277122333914,-9.514996290072595,30.759934350250525,0.05761495288594704,1;1;1;1;2;2;4;4;7;14;20;29;38;55;83;128;130;133;153;189
Rio Grande do Sul,1.1608007979222905,0.2149702360197615,221.51113044985803,0.12383019775124823,0.6602255093524514,1.8763388946171076,0.0011023673488940733,1.421279939306194,-0.6662742524164826,-8.914885800868735,-0.2788107761136802,-0.8835281350842017,-0.5793640750947382,9.053024350190721,1.137081210246186,1;2;4;6;7;7;11;19;28;37;60;72;85;96;113;162;190;197
Pernambuco,1.1446282123544755,0.21085282122093096,12.794450025037605,0.1776968037712215,1.0707143133581927,0.31006857016943884,0.005134724311458477,0.8119502157384353,-0.7840641659067907,-1.5207458904272206,-0.032498481467784335,-1.086691200167656,-0.14907886384094876,1.0342956131678132,5.875158127357594,2;2;7;8;18;19;22;28;31;33;37;42;42;46;48;57
Paraná,1.8808060667876652,0.5873027112840397,1674.954593217716,0.0941229339333983,0.8349208515080203,0.7618557413629654,0.0025318116052150483,0.39206806184505644,-0.8585084399706813,-5.229031342514051,-0.12004039477472447,-0.27579145914697234,-0.3205117212105876,5.0318156962096054,2.705457983992127,6;6;6;6;8;12;14;23;36;43;54;60;69;97;106;125
Santa Catarina,1.699183849425101,0.002363678267417152,712.2237537618778,0.039901709536145746,0.2630608367345742,1.3252310841673498,0.004626008924984382,1.308016637467346,-0.00011358004121881022,-4.972028431961827,-0.7040870084323021,-0.1954867708478485,-0.6919493175166228,4.63595054670372,5.22245185372993,2;3;5;6;7;7;15;22;41;58;69;87;110;122;149;163
