state,beta0,alpha,kappa,gamma,sigma,lamb,mu,d,Susceptibles,Infectious,exposed,publicPerception,cumulativeCases,Removed,Population_size,y
Goiás,1.0076950093530448,0.24829279473189345,234.43093143791617,0.13235113953762173,0.3522017036975298,0.32413919836057775,0.0005934722019447225,0.7815748101358776,-24.222866482152945,-0.7195481265184256,-8.728272969308657,2.1330362127757407,-22.272615162686385,22.764316767442747,0.6027351216381365,3;3;4;4;9;10;12;15;18;20;21;23;29;35;39;49
Rio Grande do Norte,0.7172726709686779,0.22907507533416224,1357.6888925661513,0.061778107841522614,0.2846735481870981,0.5946640781265513,0.005418684776584165,0.07307948645652179,-9.562658083246204,-0.6155002911526317,-1.1751708088836286,-0.00010258302516133466,-2.0221636063014663,2.2585836422360455,6.249576168713747,1;1;1;1;1;1;1;1;6;9;13;13;14;14;19;28
Amazonas,1.8067195132905594,0.06688431845498949,667.2004750136903,0.1965959827005203,0.21029957351651235,1.0529571228539316,0.0007664460697113739,0.7401931853794932,-2.3186258399626865,-12.088781382150014,-14.602960017645634,-1.4853865121516208,-16.138109692137004,27.816865532840772,0.7813025354517994,1;1;1;1;2;2;3;7;11;26;32;47;54;67;81
Mato Grosso do Sul,0.6783326682853028,0.07666341075140887,1052.6288209425857,0.01361815514189152,0.7694113517793879,0.11761877935511611,0.015515042165742194,0.08074328996563862,-0.13857166234971446,-0.661454829758994,-0.006372532331429228,0.00036518703224691293,-0.011517248652577755,0.22616910435458054,22.588605981230593,2;2;4;6;7;9;12;16;21;21;24;24;25;28
Sergipe,1.3241645846646017,0.576671171765327,118.15635683338232,0.04979017790750451,0.5019446092594972,0.14084216133660044,0.013899824052091517,0.5943457400118088,-1.9176295569028559,-0.8367063204556412,-0.09325779248364417,-0.02532877906565595,-0.16307878201577,0.5840161344376684,19.423292910753162,1;1;5;5;6;6;7;10;10;10;15;16;16;16
Ceará,1.5332985930102359,0.035847707704457,1836.5999746448013,0.05793185431750966,0.8224421118891987,1.3830010933642185,0.0026774075463464886,1.1705301564450148,-0.000846593663437005,-7.80587078209664,-0.0025655413457287093,-0.4001037148577762,-0.0028574003977702624,6.980949611451005,2.8488347360992536,3;9;11;20;25;68;84;125;164;185;211;238;282
Acre,0.6560987389937367,0.023210227477555523,1523.705239409622,0.03947581177918924,1.588565033654585,0.14097693399386188,0.014893987308046808,0.7663455949079794,-0.5129865661900019,-0.9514826659920869,-0.00578318502715125,-0.06671891215055126,-0.02669549438238869,0.5042893696614985,20.454414004760903,3;3;4;7;11;11;17;21;23;24;25
Pará,1.1912814434487926,0.1830373698191852,212.02199069727735,0.2284249819997322,0.5918576609271691,0.1481327974961023,0.012559401282243865,0.0011822352560564298,-4.96855764718008,-1.3630674207672304,-0.3102412107605725,-0.0010119275848439451,-0.6536955548179879,1.3325934870132494,16.17442263248508,1;1;2;2;4;5;5;9;13;16
Maranhão,1.1281477476890405,0.2581590632587741,751.4103891238142,0.15488851865012387,1.068846009084953,1.2490063911664249,0.019957392536220198,1.087449308941059,-2.885752557697338,-0.9446196166857911,-0.04456563183634832,-0.13966195123993264,-0.15776251629886331,0.5057548894539139,28.62565472366427,1;2;2;8;8;8;10;14
Mato Grosso,1.1948658064658169,0.06857794584777177,665.2287505196831,0.18210516746843483,0.9766008336592853,1.1676104776312524,0.03902623106251091,0.5487267616923314,-0.7430324619514393,-0.3799833597648706,-0.008890016795336908,-0.03892459313521843,-0.0283585734980466,-0.21355349010083657,79.77493936988326,1;2;2;6;7;9;11;11
