date,state,novosCasos,totalcasos,casos_preditos
2020-02-25,Brasil,1.0,1.0,1.0
2020-02-26,Brasil,0.0,1.0,2.3450366171987844
2020-02-27,Brasil,0.0,1.0,4.6045683155869295
2020-02-28,Brasil,0.0,1.0,8.796540981648436
2020-02-29,Brasil,1.0,2.0,16.622357903585186
2020-03-01,Brasil,0.0,2.0,30.966723490033
2020-03-02,Brasil,0.0,2.0,56.282979424925436
2020-03-03,Brasil,0.0,2.0,98.09227265810941
2020-03-04,Brasil,1.0,3.0,160.11804120800292
2020-03-05,Brasil,5.0,8.0,238.96081476863995
2020-03-06,Brasil,5.0,13.0,321.74914201072306
2020-03-07,Brasil,6.0,19.0,393.1202551929021
2020-03-08,Brasil,6.0,25.0,445.0612569183204
2020-03-09,Brasil,5.0,30.0,478.4235402585379
2020-03-10,Brasil,5.0,35.0,498.0862334478539
2020-03-11,Brasil,34.0,69.0,508.93148238118727
2020-03-12,Brasil,40.0,109.0,514.486956657524
2020-03-13,Brasil,11.0,120.0,516.9788462906931
2020-03-14,Brasil,27.0,147.0,517.7269919991073
2020-03-15,Brasil,84.0,231.0,517.4913412281051
2020-03-16,Brasil,70.0,301.0,516.7035352144259
2020-03-17,Brasil,62.0,363.0,515.6071957031935
2020-03-18,Brasil,172.0,535.0,514.3394228797594
2020-03-19,Brasil,160.0,695.0,512.977265527915
2020-03-20,Brasil,318.0,1013.0,511.5639952107095
2020-03-21,Brasil,193.0,1206.0,510.1239045368802
2020-03-22,Brasil,415.0,1621.0,508.67062720218195
2020-03-23,Brasil,339.0,1960.0,507.2118119923502
2020-03-24,Brasil,307.0,2267.0,505.75174756197737
2020-03-25,Brasil,297.0,2564.0,504.29283614910725
2020-03-26,Brasil,424.0,2988.0,502.83642099557153
2020-03-27,Brasil,480.0,3468.0,501.383250829521
2020-03-28,Brasil,,,499.9337406488706
2020-03-29,Brasil,,,498.4881181125416
2020-03-30,Brasil,,,497.0465057218661
2020-03-31,Brasil,,,495.60896696244527
2020-04-01,Brasil,,,494.17553220302096
2020-04-02,Brasil,,,492.7462132347715
2020-04-03,Brasil,,,491.3210114404144
2020-04-04,Brasil,,,489.89992236690483
2020-04-05,Brasil,,,488.482938306323
