UTI_mean,UTI_lb,UTI_ub
0.0,0.0,0.0
0.1578934526537111,0.031688280231172705,0.2904175198146922
0.278757806416841,0.06343879059488466,0.4998686173930783
0.3783372729676985,0.11266355579529902,0.6582359247925389
0.4670586057111341,0.14756093170307072,0.7850042935600896
0.552668838205062,0.193289060170434,0.8930456187406248
0.6410251266969135,0.22139125845486024,0.9994382983945282
0.737058027245365,0.27729079086836805,1.109611913018505
0.8455450633141962,0.3573677109437775,1.2417380196332615
0.9704230452414625,0.4410382539984201,1.3979984202340043
1.1162376789025812,0.5243116472573317,1.5846954450893704
1.2886295468587223,0.6254631291701112,1.8014687113047003
1.4923501608719212,0.7378018570603424,2.061819109442859
1.7333854578752377,0.8346858614981081,2.3664571767059126
2.0193042191927417,0.9577186313745258,2.7481297277430663
2.3580605993816937,1.1379174890227983,3.21841164766883
2.7595032183039327,1.3345403513949115,3.7350900640801155
3.2343644971101986,1.5638789128979989,4.372730219040765
3.7942582758731263,1.7857462625172373,5.057501822645007
4.450640331189487,2.0355620447805536,5.9749294259340076
5.2139641508234265,2.3278469430293174,7.0508908201155345
6.091370997734685,2.6846845269105026,8.255247441869555
7.0857129138265025,3.322639782599099,9.576311871218891
8.197773725190691,4.329676764127026,11.001952652396122
9.426301230430708,5.064009458668607,12.582758114774979
10.768682691605013,5.96470402294431,14.281653437801529
12.217061016989925,7.033812380174719,16.037826773020367
13.760681757450625,8.142315741450581,18.025090329668615
15.390931196648639,9.24622163280382,19.931649769615206
17.10238378943231,10.104313582800883,22.114513856943613
18.892498987024496,11.293846046817176,24.118065381377352
20.762652128920433,12.602202046174224,26.21374008273741
22.71788958669779,13.908884273052177,28.580100981181246
24.766308643834506,15.219305651266477,31.23361116948795
26.917344649595925,16.58504414517893,34.030661519173236
29.182097567602877,17.99644081540712,36.96159470907694
31.572003669207465,19.46253498441047,40.04084623727074
34.098527638231204,20.980605630787554,43.37544017368242
36.77593338276395,22.51455927815183,46.86876188946036
39.61550686842698,24.21422960099935,50.44174182950304
42.632920253973744,25.972441218047862,54.29740073818425
45.84336894200331,27.820551039587848,58.42435785528476
49.261287314088634,29.76560162758974,62.81266187842467
52.903723798552136,31.784889763158077,67.47988300642473
56.78836661414695,33.89307170708301,72.44752546887445
60.93403346880699,36.11616435639985,77.73984438189594
65.36043197250252,38.58372899200971,83.38188968062622
70.08877378987819,41.21974154393744,89.40008934246775
75.14139457222672,43.98074789664568,95.82365237590479
80.5422120968599,46.91306808608124,102.7179022522224
86.31682217711086,50.02874945170771,110.32924005695497
92.49249531263003,53.02907678470144,118.49128648696286
99.09823636090933,56.126217071955786,127.24143075955116
106.16517014271068,59.383378586968675,136.62337105575895
113.72649537347324,62.809849019138696,146.68344120182653
121.81771549584582,67.703773569337,157.47248054699887
130.47674088206946,72.9989740443547,169.12191002324593
139.7441616929345,78.71976744635151,181.6876495445979
149.6632334463973,84.89858699518732,195.0901818868808
160.28051003640513,90.90701639744287,209.20280152775496
171.64534970751805,96.8392539763608,224.32638776933635
183.8109890275381,102.97529982463095,240.53450543532455
196.83421336285318,108.6141348008623,257.9056575597149
210.77552503159188,114.91891179068537,276.52357018642203
225.69975176335217,123.822389941215,296.4782769171463
241.6765491163123,131.25549864989125,318.12651470660217
258.77967752645645,138.89891395770275,340.7163149759469
277.0886562926343,146.96393108325685,364.87622961162356
296.6879265985363,155.47321321079505,390.8325481319478
317.66815238069137,164.44021644575622,419.4317912244576
340.12599399388256,173.89508502758022,450.1041613427126
364.1647589768919,183.85980199206497,483.08346348995684
389.8949354057413,194.3597447330668,519.0891431325579
417.43434912510145,205.42021513589725,557.0643735083349
446.90890460233135,217.0672935917566,598.303145468905
478.45298313193524,229.3289134718682,642.5841093735731
512.2099893374309,242.23302976931166,690.1055980669272
548.3329044841461,255.29546125679548,739.4844618674142
586.984882989386,268.6210984006078,792.2306309027745
628.3398233214158,282.54066328992474,848.7099322711902
672.5832345515546,297.0714026208905,910.5020272443052
719.912470489325,312.2283797360817,975.0788239434955
770.5378625310584,328.49922783728414,1043.633948330988
824.6831520117654,347.66212929836087,1117.488107090797
882.5864245294606,367.88377159406593,1198.509786173781
944.5007996647413,389.21676896445604,1285.986834978988
1010.6951850278579,411.7160348945972,1379.7257161441612
1081.455083229873,431.14200840981687,1480.157012065693
1157.0834328666701,451.11128930264806,1587.738852521018
1237.9014518564377,471.7281352281691,1702.9571948173038
1324.2493780689408,498.7103312166588,1826.9073961576278
1416.4873714699345,527.5047957606627,1960.9516400342598
1514.9963532297104,557.8624865592291,2104.979695707468
1620.178470023891,589.8569135556745,2259.2112899028652
1732.4582053732252,623.5633404881166,2424.318493096446
1852.2826966458324,659.0613459007875,2601.0103794449524
1980.1226317528653,696.4317194210448,2790.0345430586467
2116.472412470874,735.757103618826,2992.1766852078144
2261.8507245815963,777.1222900013008,3208.2614620633935
2416.8008539240045,820.612622807685,3439.1536789732518
2581.8906309747967,866.3187833572474,3685.7575304231054
2757.712328203449,914.3282256574118,3949.471227643975
2944.8822887638134,964.7320337084684,4234.23035502687
3144.040251497511,1017.1124274993381,4538.050895049953
3355.8485816751613,1072.250000347873,4862.013365413497
3580.990542580984,1130.0430766748705,5202.95361359627
3820.1690454777013,1190.5947773903404,5563.318305274653
4074.1042298031934,1243.0189740517117,5946.517535704224
4343.530624227277,1288.2076785998297,6353.696219578061
4629.194245163561,1355.718551146303,6786.012680720472
4931.848346330544,1427.114002427285,7244.63222815641
