beta1,beta2,gammaH,gammaU,delta,h,ia0,e0
0.9688134384536451,0.5896082579500784,0.12930111765395766,0.13702608466495914,0.6722820880186253,0.29614210177233863,2.830676101236429e-07,1.920724814224818e-07
1.0071853687342727,0.5364170730097448,0.11799418426098005,0.12425258700380572,0.7843413111241976,0.27046801137558885,1.488363223159338e-07,4.7637142174097674e-07
1.2299810958305242,0.6942237705304394,0.12627459705427294,0.15307273822863712,0.5280627822126898,0.2729146397399001,4.787811055458178e-07,3.0179431912421717e-07
0.8837954348429011,0.5145347728860434,0.0862271866616534,0.15599813047540526,0.7849111346556744,0.31782907708856206,3.353460225266953e-07,1.040294386778965e-07
1.306843884554732,0.7063811116151315,0.15180436840568634,0.19155471934727586,0.5330862932333571,0.3198314727708767,4.379823599407885e-07,2.144804287409431e-07
1.0454219364265318,0.5726524196801595,0.13209518837980935,0.17156953955952042,0.7181239080450127,0.27499932825203316,2.303817051059732e-07,3.4059011884821446e-07
0.9731974390214227,0.5636551803688972,0.18300972013189007,0.142951676984672,0.7417088349800129,0.276577842193798,3.8659177610361633e-07,4.175861368766418e-07
0.9392038333568116,0.5095417166695974,0.09574400883993028,0.18818794665693248,0.8582788379159232,0.2659197731853375,9.006955363708993e-08,2.0864596744263392e-07
0.8417365203334385,0.500064945248677,0.15557148090816353,0.16711309763010157,0.8547438923662187,0.3216998629138163,4.4222073727460297e-07,3.548285572443305e-07
0.8890737313434329,0.49333217480493907,0.1439295572179753,0.13754418431952772,0.8302676464144683,0.27210191519413635,5.62160386811971e-07,1.9331416278573882e-07
0.8605033973448684,0.4999524497645641,0.12532399350042886,0.13221508001762547,0.8164430249937514,0.2920377193403987,3.478652597004528e-07,4.432276986349638e-07
0.817003626842484,0.5028235381283045,0.16023382854283455,0.16530129670321977,0.8322085761842141,0.2417525274740322,3.595983944857961e-07,3.9539359705513403e-07
0.8482363040482981,0.5293032332616712,0.16725171664663677,0.17508755997571782,0.7474072577002537,0.2452241740021874,2.6665171615962696e-07,3.986549102445545e-07
1.040826121581189,0.6330394641579516,0.14048396042398764,0.1789808277623383,0.6273412209020403,0.2981697019785594,4.819079568278098e-07,2.833084143651337e-07
1.0542738005186147,0.6035924536799587,0.10933895272635456,0.1754870740768844,0.6893767171959919,0.3202415086205702,5.982621356036198e-07,2.893309804303752e-07
0.8837483082548576,0.6085944538645314,0.11523882915169928,0.12409721853256536,0.6438863531964204,0.33887390434653863,3.015721341760862e-07,5.045972404007826e-07
1.028240753170015,0.6912178448564098,0.09254589065524937,0.14677280860238626,0.5411043807370568,0.31663401591936413,3.279264888139434e-07,3.467642802856581e-07
1.2063098211647574,0.7768786044686611,0.10855789789126989,0.11950161626296293,0.441312988139513,0.32806634820634667,4.0360698490539904e-07,3.86971042796207e-07
1.17971991135615,0.6818802473561396,0.12150126123176135,0.09359152622579332,0.5656716882408858,0.32313060626807677,4.353788154042161e-07,3.377585786930528e-07
1.0606139721424153,0.6840594872783122,0.14631245370434776,0.18378478977912147,0.5520635498154186,0.23172061774528652,7.345257196320936e-08,5.291941195904667e-07
0.8935192241929459,0.519004454460155,0.13251711363653826,0.15378941343231559,0.8399872132382505,0.24353954609041306,5.767659036017502e-07,2.1464561109100638e-07
1.3255389888394964,0.6507521001593108,0.1800534342532228,0.15962622378284952,0.5778256033732007,0.2702567948770925,4.2307471091823674e-07,1.474563493938975e-07
0.995119779207547,0.5597841420097021,0.12903634256191526,0.13728061127149227,0.7068565408753922,0.25925274597998454,6.993992395802268e-08,4.162869466900266e-07
1.2349354260327294,0.6937422188601852,0.13117427177487317,0.1893237252402198,0.5416171724214934,0.262558337134734,3.531424414784266e-07,2.3669214315527657e-07
1.1031849940436456,0.7063346201528401,0.14073013697514336,0.170083708665984,0.5390010554420183,0.3486775860654149,4.784366725235278e-07,4.2517439149657125e-07
1.0722443452052577,0.6487145394228218,0.10217254618835346,0.14891460969653836,0.5808498258453455,0.2962330154343366,5.040758842410124e-07,1.8293075821858514e-07
0.9135113087407326,0.6021554778074016,0.12357582667319554,0.19023136395457396,0.6486458230049059,0.25649350412763877,5.894789242589126e-07,2.695301430743946e-07
1.0810736305916908,0.6447931077889767,0.143412538071146,0.1299359017946876,0.5836410018587627,0.30335695814917113,2.5546066069492076e-07,1.7641413198623707e-07
1.109558624271933,0.7241450283034894,0.11945483393556314,0.19918555243524017,0.4485643317804031,0.3049469296578854,2.660438006176088e-07,6.715430141634744e-07
0.8835426191583633,0.5952093224936275,0.194704177577262,0.19739386916184282,0.6725857820944657,0.27413806278888564,5.388767897070305e-07,5.516304174963909e-07
0.9743160569096112,0.5982530931136434,0.07701110794824792,0.17648566530381174,0.6811810310420404,0.29820999849802843,2.774888867271475e-07,4.0116566549423667e-07
1.1355822884046394,0.536676441505022,0.19797749601413878,0.15820388247620787,0.7904694454869166,0.3230026730994737,5.301398532108611e-07,1.846384112251405e-07
1.1609534188648312,0.6844724510609329,0.12143799957480896,0.16046993524695596,0.5697291455225418,0.2759957521190258,2.423947675675591e-07,1.801213074008643e-07
0.8733629750928233,0.5328507976902644,0.17354769990911814,0.1308273563059005,0.8066553914082761,0.26033329320473514,3.7952999991611675e-07,5.46737197141456e-07
0.8280129906719267,0.5509266616515222,0.07832285161581541,0.15060889013446527,0.698204202968342,0.30929950225770647,5.027727604737658e-07,6.010069181925706e-07
0.910736449646003,0.5216542032875949,0.0878353946368337,0.1091156659574207,0.7619951811965381,0.32069038571573055,2.95268925315243e-07,2.597546334723591e-07
0.9764965389424488,0.6234886384969932,0.12792260547210568,0.11509028265389996,0.6391110843054912,0.2624422502176655,1.6460007364237616e-07,3.731508149785407e-07
1.1527472253628506,0.6875081031346439,0.09439212391422973,0.15414691307985398,0.5593089101681131,0.29058469180802604,7.542221507850509e-08,4.760690501390763e-07
0.8645447837290705,0.5306463223924992,0.10939424701996459,0.17545038168886604,0.7577181513790713,0.3288819738068637,5.3499365736762064e-08,5.8093592910237e-07
