deaths_mean,deaths_lb,deaths_ub
0.0,0.0,0.0
0.005120138937870201,0.00111359474710882,0.009453331352934441
0.01900904969506215,0.0046153700417915396,0.034799025888096635
0.040004995276075775,0.010811305919876803,0.07232356625065164
0.06721732669911161,0.0195848766515041,0.11967128628687576
0.10025565650645586,0.031199385040368344,0.17532829132504751
0.13915663318804733,0.04623167669332892,0.2381945357110004
0.18428264123719051,0.06530130717986174,0.3068285519306365
0.2363708028672989,0.09133667907855944,0.38490828740638977
0.29630108220052903,0.12266249575059282,0.47443981625660875
0.36520536471114623,0.16294874385511432,0.5741666650006931
0.4448299256707704,0.2196657075363203,0.6872397482522088
0.5368952989550524,0.2842001630626082,0.806982006190172
0.6435623565489507,0.35494143265996186,0.9461611147247247
0.7676139384916203,0.4396826600598672,1.1080643474236602
0.9121525801916179,0.5229832763461527,1.3024459873681415
1.0810636966547977,0.6237123642456497,1.5187073548455055
1.278850310309735,0.7657328318499257,1.774951394168049
1.510791156897373,0.9360390819017765,2.0810237425508284
1.7827306210485494,1.1343912886351037,2.415882243888732
2.1015271115583354,1.330797997869901,2.8238211273368883
2.474554583261268,1.56205664626739,3.3122414346048865
2.909395850666561,1.8625393345314176,3.862867372769356
3.414003428477766,2.197304585880103,4.499304024054547
3.9963373496442456,2.588673654559095,5.2058674857011535
4.664328557765409,3.066967624950933,6.005104625009628
5.425326075364027,3.603383219432391,6.9205399835086725
6.286416257942994,4.231771995061146,7.958759851952241
7.2540023394241535,5.009110904059012,9.104920002655689
8.334018555247045,5.917482243543922,10.360824623809467
9.532138855445373,6.950548852849212,11.689226425591977
10.854084718007702,8.113398789307752,13.119316590377398
12.305499321074786,9.410363221815125,14.66794056155133
13.892659488143492,10.846114022527605,16.375425816539778
15.62225152713807,12.41766679882062,18.298772230665403
17.501999603391678,14.085466051313322,20.315302280326854
19.540001041372207,15.751748230630186,22.552628415935754
21.74456929338166,17.50903186633883,24.945263469216222
24.126621429683553,19.40195118478274,27.721284912640893
26.694867804085085,21.447541085387584,30.59092943871513
29.462068753647355,23.656201238288197,33.81969166051695
32.441059891064334,26.048471071995284,37.30434197259229
35.64425333138445,28.623052692769893,41.05091689892045
39.086534698100685,31.38910446114332,45.08839931497532
42.783803636757455,34.43715865367515,49.42361244738573
46.753037101732914,37.77781164138608,54.02968590016524
51.01247762169893,41.38005672960389,58.81203945810422
55.58184470461978,45.25790004913024,64.13018525289354
60.48205401950767,49.43209235119892,69.82197652846769
65.7357277460841,53.92478543582468,75.87149733634197
71.3672508357599,58.74522730237973,82.23045990686019
77.40276351973426,63.88964874640564,89.03639283555576
83.87019430842652,69.33147440545719,96.34565289157595
90.79960360544233,75.17118087440122,104.18477191644477
98.22317408201079,81.41392223547147,112.58520702041538
106.17544824553619,87.88517796184176,121.57294620594058
114.69343575638908,94.62072009517642,131.1884468474766
123.8168357331131,102.45614439381666,141.47520056039767
133.5880404251996,110.8857779662788,152.5287387595471
144.05280425624215,119.95460089524968,164.2188670085778
155.25964948185106,129.54532396334844,177.12893443789733
167.26099360901017,139.82237457862539,190.69999748046948
180.1127564637778,150.74126099016686,205.08200705048233
193.8746614085667,162.42470344894292,221.0238275387855
208.6107607624664,174.9488540137009,238.30626112856686
224.39003354168256,188.01601900556545,256.32699610968626
241.28560464173114,201.48524573047234,275.9580848157749
259.3764435720139,215.830747218409,297.637294632343
278.74641030626253,230.4515810892045,320.79914263726164
299.4857512468945,246.66689367648127,345.49130179047006
321.6907864451716,262.60931373750066,371.2619611088071
345.46469101238546,279.96056352318305,398.60394255423626
370.9178970589363,299.85166910639117,428.0509434329945
398.1683985154807,320.88123823330255,459.91264218327706
427.34249678484605,343.24870612259224,495.5058967400249
458.5752223982258,366.8907780164671,534.4463632617943
492.0110189501559,391.1727557784171,576.5412790750729
527.8043146662519,416.9496082859209,620.6455274498522
566.1201472733643,444.15990317802346,667.1404305488288
607.134990823782,472.67130979973706,717.283514156828
651.0375404456163,502.88445897141617,771.6689331404925
698.0291877753195,534.8952763435002,830.0694058807226
748.3252432508534,568.8067269549267,892.7768647079166
802.155516976728,604.7563183648236,960.9061594443589
859.7655140390237,645.3607659002387,1034.107642171633
921.4172841020105,688.5884883523577,1112.7463636644984
987.3905118232334,734.4328132293394,1196.8553415835493
1057.983568759676,780.2778512396342,1286.6927853867235
1133.5147226180443,826.545408357025,1382.2686853303549
1214.3233052860837,875.2971356429823,1484.784038841864
1300.7709773612228,930.5127533538223,1594.744390865373
1393.243131224243,991.7970772873086,1712.6744190963593
1492.1501810727414,1056.9848456841173,1839.1397036546723
1597.9289102112152,1125.025210441543,1974.8036683755417
1711.0441787916616,1195.4806950880818,2120.8690469310764
1831.990196168966,1270.1544089966674,2277.479443021439
1961.2923535346197,1348.7675514527673,2445.6814074966087
2099.5086072225954,1431.1306492952262,2631.7056994903
2247.231252013774,1518.273576616099,2833.277995301869
2405.0886255376768,1610.4610643727046,3046.5779813642184
2573.746697079824,1707.9718487063224,3272.472177439792
2753.9107453573047,1811.0989656520699,3514.5398285378405
2946.3270768860566,1920.1519303205764,3778.211031584482
3151.784730300132,2035.4572994497819,4060.974745136843
3371.1169153157966,2157.3599395933857,4363.965070270473
3605.2025745043147,2286.2227324377286,4688.517840181591
3854.9679156053026,2422.4288486021815,5036.041691996942
4121.387864103683,2566.3809489136997,5408.021091856899
4405.486765132943,2718.507288352481,5806.015930593407
4708.339678647298,2879.260043793166,6224.052957813898
5031.073025710316,3049.1174657410916,6669.869510654589
5374.864940970875,3228.3673494841487,7145.851046569411
