Hosp_mean,Hosp_lb,Hosp_ub
0.0,0.0,0.0
0.1851096980147165,0.03758174577605716,0.34027835533361656
0.33907315400305854,0.0668450305856168,0.6100024030553748
0.47560189264042124,0.11713535654723828,0.8326778606502588
0.6041487336904314,0.18122358745396627,1.0259774304152458
0.7321707742062157,0.2319672142487057,1.1936583308920587
0.8658015237640123,0.2898702619604576,1.3565525101462115
1.010645275642595,0.3737032170507625,1.5354725450696778
1.172593355929805,0.4752369627648958,1.7521562489845193
1.3567722921618357,0.5798259305992558,1.9817490753767109
1.5691774494598671,0.7283649012275225,2.255479170126263
1.8175555923208284,0.9194071679850438,2.5751217899551517
2.1085939487423926,1.1070643743549518,2.9460544292115403
2.4507107880244337,1.3415199858379807,3.3800327434593456
2.8544280508717677,1.6187227310207724,3.909733196118821
3.3311396929614494,1.8785582385674626,4.573682664636794
3.8945978718571967,2.211184655517763,5.311707024649886
4.5601127026295,2.6816036571219506,6.219774442033954
5.344507129448982,3.155111317511799,7.253303223536384
6.264702293020717,3.6562868547205647,8.487942666563676
7.337024685284026,4.357060116797605,9.88831036840958
8.5741133532133,5.151135514983233,11.478861683796483
9.983550455831987,6.168590097633832,13.280389816580726
11.570243067221927,7.162348590240244,15.314868582447852
13.336198667449999,8.347072637885628,17.472390276454885
15.28124074283029,9.781394544980609,19.73487818992411
17.398215179121273,11.370301266269655,22.240359523697613
19.67586573902908,13.065011611179994,24.99384186762503
22.104355657421614,14.923986212993315,28.00240664451274
24.67690661461831,16.722292857858182,31.1296261202502
27.389800437578952,18.696801396031518,34.497693607011946
30.243781481192293,20.63493632113653,38.04540188052229
33.24389265261988,21.824477636026828,41.87153711204117
36.399272720461234,23.529025779722275,45.95395243881944
39.72129111261157,25.31726728816799,50.34250112693451
43.22398592218371,27.395643185599273,54.80025825453846
46.92243736503381,29.296820212428294,59.55141739095248
50.832068227439365,31.51565187552085,64.61604333591096
54.97296862917706,33.85202345202366,69.97768864720405
59.3610288792933,36.52085192618557,75.62081546672057
64.01891725441061,39.417402729217244,81.59410200066787
68.9691127970889,42.423998919200216,87.87949437544594
74.23294302567348,45.62727371929036,94.63075018268007
79.8358245648892,49.05933575488813,101.87195496523518
85.80460647867056,52.46063439069312,109.5021631597637
92.16735961739346,56.00891873736178,117.68302379663687
98.95406775602177,59.82106605301665,126.44985085734122
106.19692475837783,63.90162134323606,135.80960863431548
113.9297848971084,68.21393541448941,145.8063413771794
122.18901507694282,72.66270873940462,156.61222311040154
131.01352324336008,77.93117334221145,168.24760089009902
140.4448178879464,84.17389331190257,180.67520330382584
150.52703701653772,90.91677152772226,193.56942439042905
161.30752752364137,98.05434724617302,207.65555054541872
172.8367696328054,105.7580509049428,222.56106572872585
185.16878226172233,114.07619000321469,238.5037136437368
198.36122786405076,121.29229263142042,255.55829813569912
212.47583444979648,128.4348930025103,273.8051682641218
227.57835361338215,135.8423448809534,293.32961461615577
243.73964369268202,143.5495699453161,314.3568778266032
261.03461936547103,151.39918432177643,336.99406335731794
279.54423511448306,160.45458340435692,361.26193358624676
299.35468891794164,173.33342494632006,387.9430632347057
320.5579063004437,184.86585353457278,415.9328612114736
343.2522986490181,197.0205447727042,446.60099107277944
367.54368051079507,209.97235800120342,479.06704336597824
393.5441422750546,223.26225362864315,513.499081673164
421.37436223938795,236.56379788651782,550.3928053205781
451.1626255326723,250.62229127672214,589.9342685546675
483.04659174692745,265.47805519138285,631.9551081771128
517.1730563634108,280.87091656555845,676.7230448050808
553.6989550092143,297.07445041135037,724.6483956946221
592.7920608665585,314.1535344621343,775.9536652113818
634.6313849436057,333.5511658929948,830.8758695709475
679.4081713996515,353.1987200805493,890.2488643308981
727.3265687555274,373.5358550858604,954.1941267678793
778.6045049937491,395.64510919813154,1022.7052973248748
833.4744602849419,418.5948754872244,1096.1048157972969
892.1844393937665,442.8033982798074,1174.73625252291
954.9988824340671,468.33462947735745,1258.9668124430136
1022.1998985777327,494.5862845487827,1350.535791039131
1094.0877399500364,521.0547457388827,1448.812984828269
1170.9824715591487,548.7738899726544,1555.2186609725836
1253.224707995924,577.7863424149177,1670.7532654786767
1341.1770195649551,608.1390070338285,1797.232200487094
1435.225047675129,641.2035575728659,1933.015305075187
1535.7786906175995,680.3314769007968,2078.7579545974295
1643.2733999792356,721.7784186779659,2230.0619175490156
1758.171451555333,765.6747221957437,2391.0029141473397
1880.963383197002,812.1552997320935,2563.3272845307242
2012.1690576220992,861.3625535329882,2747.804692655986
2152.33928113421,913.4454752660854,2945.2511958046653
2302.056993983894,968.5614347138421,3157.1515257913316
2461.9382808321557,1026.868290890801,3383.900130548491
2632.6340306466254,1088.3343941117153,3626.446835619122
2814.830677344772,1140.5856986582419,3885.8191927959115
3009.2516406913464,1185.1551948275237,4163.100638876242
3216.657857604426,1230.424406453335,4461.508127293664
3437.8488117569927,1276.320567745855,4781.701399577823
3673.6632247837542,1322.7697178400485,5123.823285946659
3924.9792767157883,1381.930710764344,5489.225188312909
4192.714746743216,1464.9410693588552,5879.318559492342
4477.826811123817,1548.5412211067528,6295.575128452728
4781.311412323798,1633.6054698425314,6739.526936533639
5104.202406327016,1722.8839779307186,7212.761608120972
5447.569575445744,1816.5478164896103,7716.9209817345145
5812.517065060982,1904.432403925845,8254.100691505188
6200.180527176196,1978.1328955112822,8826.164961294615
6611.7231308488235,2053.8988278569304,9434.466059201666
7048.332024134658,2144.6496611632774,10080.816882797004
7511.21253347627,2260.381155366994,10767.052509103201
8001.582329693843,2381.341722975807,11495.016216762535
