dates,ts0,infec,leitos,uti,dth,dthcm
22/07/2020,146,133245,862,803,52,2988
23/07/2020,147,138358,865,819,56,3044
24/07/2020,148,142767,872,814,52,3096
25/07/2020,149,146399,865,835,44,3140
26/07/2020,150,148179,874,842,42,3182
27/07/2020,151,149109,885,828,45,3227
28/07/2020,152,153313,860,825,43,3270
29/07/2020,153,157334,871,849,51,3321
30/07/2020,154,161630,844,807,70,3391
31/07/2020,155,166154,793,839,72,3463
01/08/2020,156,168926,795,849,54,3517
02/08/2020,157,170476,760,857,55,3572
03/08/2020,158,171391,735,823,52,3624
04/08/2020,159,175389,733,782,54,3678
05/08/2020,160,179737,733,790,58,3736
06/08/2020,161,183690,724,760,53,3789
07/08/2020,162,187892,724,755,54,3843
08/08/2020,163,191401,742,736,56,3899
09/08/2020,164,193029,717,708,54,3953
10/08/2020,165,194097,714,745,58,4011
11/08/2020,166,198767,749,730,56,4067
12/08/2020,167,203020,732,737,68,4135
13/08/2020,168,206955,756,762,67,4202
14/08/2020,169,210993,759,776,69,4271
15/08/2020,170,214379,752,755,67,4338
16/08/2020,171,216030,760,737,68,4406
17/08/2020,172,217115,770,712,69,4475
18/08/2020,173,221041,766,727,67,4542
19/08/2020,174,224659,754,723,69,4611
20/08/2020,175,228596,801,724,74,4685
21/08/2020,176,229743,795,722,72,4757
22/08/2020,177,234204,771,696,75,4832
23/08/2020,178,236050,761,713,73,4905
24/08/2020,179,237208,745,718,76,4981
25/08/2020,180,240939,739,701,70,5051
26/08/2020,181,245021,738,688,65,5116
27/08/2020,182,247853,716,684,62,5178
28/08/2020,183,250977,684,708,65,5243
29/08/2020,184,254790,676,718,59,5302
30/08/2020,185,256062,675,698,42,5344
31/08/2020,186,256727,684,671,53,5397
01/09/2020,187,259418,672,652,51,5448
02/09/2020,188,265739,644,634,54,5502
03/09/2020,189,268137,582,633,47,5549
04/09/2020,190,270177,543,627,41,5590
05/09/2020,191,271225,554,615,37,5627
06/09/2020,192,271963,547,598,31,5658
07/09/2020,193,272388,564,586,35,5693
08/09/2020,194,272814,557,568,41,5734
09/09/2020,195,275088,556,602,40,5774
10/09/2020,196,277327,552,593,44,5818
11/09/2020,197,279509,560,593,48,5866
12/09/2020,198,281665,567,608,46,5912
13/09/2020,199,282517,534,590,49,5961
