Infec_mean,Infec_lb,Infec_ub
0.0,0.0,0.0
0.30434831975815363,0.09863305564162275,0.4804280107807737
0.7803085205996091,0.40802920248160846,1.1661663533166582
1.3880173148936017,0.8673155603390882,2.025291311149525
2.1144348602003897,1.4134733103795802,3.0805487091373127
2.9594030158511413,1.966082164675235,4.3044904656689305
3.9293284013529575,2.613582129272694,5.690044233787862
5.0358146211783295,3.3722438909074723,7.240264192455484
6.295403363484263,4.2605922974770145,8.97639780648882
7.725617574557779,5.298901344555446,10.906772335104602
9.347965466004908,6.50335294257713,13.061119318911743
11.192498641158172,7.919765731513487,15.48786458977931
13.282265434592123,9.530459970245237,18.19557324758518
15.653564184427132,11.324136483914963,21.21544107234291
18.345578495143542,13.489700625154335,24.562097008965143
21.398486119737594,15.944404245093548,28.26088297919523
24.866878777906646,18.71674574859191,32.36035948209399
28.808981980522557,21.876522399999928,36.906256584694425
33.30258319508816,25.769168736293604,41.963474085981105
38.36293386949318,29.837078011708183,47.60904549819902
44.12150406201654,33.90168575175045,53.92569903160263
50.67027129912903,38.94037369435861,60.97973410140278
58.102249122134396,44.79122810735988,68.8035290014425
66.49970423811274,51.90087108309024,78.06077020827213
75.96801642689367,60.62597751955188,88.37335812070143
86.6227927526434,69.85537005707306,100.16891080407937
98.555525016609,81.19252891904844,113.6044145387903
111.75137694532602,93.73195535406316,127.72836137418527
126.08095962170876,107.95561972127973,143.34465320894415
141.39531284601958,123.78833615475268,160.75533187664072
157.50334799662352,140.12649732441636,179.3414460583944
174.38257960741402,155.99826297736195,197.83366093003582
192.16548451485338,172.90671965718587,217.12602337019376
210.96375142505931,190.81879255350236,237.3370197621548
230.86844661958435,209.50807588708085,258.5492301461201
251.9663858186914,228.83455777542952,280.8358132241652
274.33884932576694,250.57728849992506,304.2591585310355
298.068899591697,273.692823606232,328.88102097150596
323.2431321251191,297.87460684316886,354.7707266490453
349.9521447322819,323.7345439835286,381.9876159069686
378.2880691494813,351.3944466376153,410.58666102241557
408.3599254234507,380.98332577876397,440.6961547823415
440.2630223810028,412.6166271658976,472.80866817447566
474.1171838792878,446.26047216892874,506.59666855684947
510.03845752469914,482.016910900327,542.1339098062175
548.1542487330283,520.0366522078341,579.5093736614776
588.5984214939145,560.6540858219491,618.8124623600008
631.5159167189689,603.9536237326118,661.0256241912384
677.0575544583241,649.9537265416827,706.5745307304005
725.3827280929513,698.6220270546958,754.8167033092244
776.6622315114698,748.4920879680084,802.6641981563777
831.076410110435,799.8503478263008,858.8177030638403
888.817171655938,856.3580416899435,918.6513577381581
950.0874931502875,916.0804283488926,982.8571872977777
1015.1031792137298,975.2631934031679,1052.2147820380753
1084.0924280366241,1039.3089965234967,1127.3505838413334
1157.298645598262,1103.4027497346767,1203.3295032819128
1234.979135157271,1174.7000266643179,1287.1273487619987
1317.4059415269835,1243.757502108803,1377.8049005213516
1404.8687746656842,1320.9482597158258,1476.375799127404
1497.673340720395,1402.6790026785259,1582.9985005525612
1596.145376890933,1487.1940826043883,1696.871221753887
1700.6297694839639,1575.1419635671928,1818.474196691297
1811.4896899656203,1667.7256713330507,1948.313560946304
1929.112665046708,1765.1821475036227,2086.969455093182
2053.908292123845,1866.2597202897841,2234.5019847556523
2186.309342494289,1971.6290523221783,2389.7816149010014
2326.7763152746497,2082.295856064208,2555.4661877050858
2475.7954177713555,2198.507581492516,2732.1483533002743
2633.881273693056,2320.523437101189,2920.5168485360027
2801.579063455381,2448.613149236173,3121.3430913029542
2979.465385915861,2582.9146837362596,3335.419607092068
3168.1502916582713,2723.579134142252,3563.59876749714
3368.2785989686126,2868.375199484076,3806.7804720530494
3580.5321827460994,3018.287913818287,4065.9204692666553
3805.6319579272504,3175.016645423697,4342.033191321748
4044.3401401842593,3338.826628044837,4636.19442765819
4297.460201827631,3509.9868575170954,4949.54022703416
4565.841727041856,3688.7714367145786,5283.277044408296
4850.380479726407,3875.458274414645,5638.679687963207
5152.022673812456,4070.3380756322513,6018.130712386954
5471.7648510746485,4273.704885507586,6423.817204308058
5810.657773358911,4485.8611008878015,6855.044558370755
6169.806978785844,4707.111856295705,7314.05154996507
6550.377667926691,4937.77225773349,7802.5222778527395
6953.593621821729,5178.158835388463,8322.256175603343
7380.745424820579,5428.603271826857,8875.137317958623
7833.1834489040375,5689.4345363654265,9463.145022234881
8312.328637732473,5960.994476994376,10088.366444220945
8819.6709098093,6243.637331316268,10752.993999529188
9356.770822195309,6537.716295731493,11459.32861148147
9925.262427459582,6843.596776548571,12209.781985068243
10526.855151506737,7161.655229522195,13006.881631011476
11163.334206128193,7492.282137769321,13853.26753703559
11836.562520359812,7835.8782451603865,14751.698945213542
12548.48183519281,8192.860098656252,15705.056068252556
13301.112930158188,8563.662930278124,16716.335761651473
14096.55545442873,8948.741697660265,17788.654043080343
14936.988780097696,9348.577365390365,18925.246112370485
15824.669440534362,9763.675326601558,20129.459764072286
16761.93045247357,10194.572376289174,21404.754101580475
17751.179874547983,10641.84320137033,22754.69595095193
18794.896364520922,11106.105802712016,24183.305147031468
19895.627366811434,11588.031594806824,25694.151371011212
21055.983073839634,12088.346623228255,27290.972980998253
22278.630035591847,12607.841936337129,28977.694355697506
23566.286344396518,13147.385262443782,30758.29973879467
24921.7114995741,13707.92826175563,32636.817838001403
26347.698972736423,14290.519585791666,34617.307501343996
27847.064121962194,14896.31871923886,36703.83831044342
29422.63406883573,15526.60639845688,38900.46424778855
31077.232181838957,16182.797373464353,41211.20466691147
32813.66491726292,16866.45523492467,43640.014973060024
34634.70422680032,17579.306559628298,46190.75167265353
36543.07078137216,18323.25692415028,48867.15266591108
38541.413031613214,19100.402931278673,51672.79226378199
40632.28866089239,19913.051121894387,54611.046173068506
42818.14123838788,20763.723183985094,57685.05311430352
45101.27673511905,21655.170493378588,60897.67307475256
47483.839519036104,22590.386187983037,64251.449586466246
49967.7867614689,23572.61039227856,67748.56205288105
52554.863174389924,24605.331909300297,71390.78563185329
55246.57425535796,25692.286870845746,75179.43275468514
58044.16037719025,26837.45762817191,79115.32869451032
60948.569077312604,28045.062502607798,83198.75460896874
63960.43166421526,29319.542024819748,87429.41206211147
67080.03690660128,30665.536530963596,91809.0340528689
70307.30796829266,32087.8464107677,96353.7459175472
73641.7809676872,33591.41428264014,101042.7550166178
77082.58658861228,35181.27607796299,105873.1471609767
80628.432394304,36862.509616092306,110841.27038595465
84277.58990637962,38640.18337802472,115942.71896357427
88027.88284103571,40519.29330464787,121172.3220403429
91876.68192850222,42504.69529073818,126524.15004349635
95820.9010450889,44601.03323063288,131991.51672571048
99857.00008141896,46812.668569615285,137566.99178155034
103980.99067325878,49143.603798001655,143242.43120200976
108188.44586943387,51597.403304664076,149009.00794693918
112474.51593940434,54177.12117093405,154857.24786843054
116833.94721644586,56885.230466013665,160777.08822718373
121261.10653509026,59723.56475907506,166757.93047862875
125750.00941813998,62693.232120741086,172788.70029991533
130294.35187237762,65794.59932869086,178857.92636071192
134887.54450167995,69027.23100694254,184953.81060407357
139522.75243357965,72389.86523660649,191064.31660693302
144192.9356428102,75880.39264616661,197177.2519577355
148890.89236676224,79495.85397497204,203280.35374331556
153609.3033050368,83232.44652648628,209361.38115988224
158340.77725218039,87085.54268437307,215408.20312240976
163077.89601124136,91049.72039464337,221408.88161298938
