Infec_mean,Infec_lb,Infec_ub
0.0,0.0,0.0
0.31015117083300653,0.09620684891890363,0.5215024947469816
0.7720032840145415,0.19694508282253498,1.2265325481842608
1.3567184577961666,0.3772760501549457,2.0905304292654954
2.0575888132576767,0.535711819993407,3.1735549157384266
2.878199298909332,0.6957383388068621,4.429998894290254
3.8301789719457093,0.90542586787529,5.911941491549625
4.930051841560064,1.1764216200061774,7.599036635738553
6.198558076635008,1.5254605289960228,9.512567599936155
7.662354328411257,1.9749201537550292,11.642300533557108
9.347891568410331,2.5515943425809056,14.021346686171842
11.28756314833713,3.2938251033548127,16.7006253905931
13.522652294579599,4.321633881856396,19.718147165801643
16.095866470074675,5.8494682052864455,23.08869791443273
19.06102624420163,7.763748311463303,26.864915306703175
22.474847187098202,10.136328672524535,31.295301679371114
26.410552240955127,12.746466426038388,36.368129341403574
30.94861992857489,16.160196739631864,41.72461112269107
36.18014370489985,20.484001280698195,48.24186388252079
42.21797236567139,25.245364255339332,55.77613988716069
49.1868977694405,30.649139651117864,64.38752637209063
57.22865494200517,37.251644786299394,74.47897975183088
66.51380439629855,44.8476034506412,85.60218382195004
77.24331680371746,54.05250007484142,98.42593977737862
89.63872140551273,61.31523904079508,112.579318757858
103.84048471255677,74.19681894418733,128.7860958875014
119.76932605380358,89.08526634551947,146.46975390152787
137.25810590359308,104.81390216448384,165.55399186758143
156.27572710195332,123.07082413515218,186.85811007382148
176.58003337166772,144.1798530961068,206.500887623474
197.51746685954754,165.66926017157414,227.76228139895105
219.12069954298062,184.15625925118212,251.22811511794112
241.58540249223913,204.37781814678084,275.57567362293975
265.04441210739293,223.74388245719774,300.8388906779528
289.6002166964001,245.56811403530583,327.15401965812464
315.3375280845196,268.09691146718393,354.7110433057905
342.33143477349864,292.1923168161244,384.0340120060799
370.6559785401274,319.3079410451693,414.5859923313695
400.37857160319794,345.68633925327117,446.40993196223593
431.57604440089,375.44502088191126,479.58006142084184
464.32253386446774,404.74876553390845,514.1189705290172
498.6955982048558,436.7172148198613,550.1256644101143
534.777626115009,471.70853865966194,587.6351956204885
572.658623777719,508.61962585608,627.1932924747047
612.4290975971115,547.20029581874,670.3881746593196
654.1865280686817,588.2286902134598,715.9313958611284
698.0123253913299,630.7070191392967,762.9735815338312
744.0296961848915,676.148024030827,810.9389478063475
792.3983827049008,724.3548200257655,861.2355601172322
843.0854641524859,771.8645580406142,913.3703949467064
896.3428070623738,821.9670720442144,967.671211188996
952.2596950609886,874.8989124071211,1024.487657606974
1010.9533403463269,930.7912583450538,1081.357196975157
1072.5965184352267,989.867321191495,1140.4812555636527
1137.3034687297657,1052.2392260450977,1205.7727887980443
1205.2556884175638,1117.2025953490083,1278.7019882624652
1276.6119144126192,1187.788467385548,1350.3838979321847
1351.5488487615708,1260.355457623752,1428.8825026636428
1430.2401575371366,1340.8794891231807,1510.8805018380967
1512.8372412206472,1421.1193805696166,1590.4321767827341
1599.5860735590654,1499.8449763694239,1680.0963945036683
1690.686245972188,1583.630293534346,1775.039849757625
1786.3501467622073,1671.2901380773421,1877.2234277592404
1886.80804381647,1757.736757926191,1991.6423185128797
1992.3025523413983,1849.234513694957,2099.580847631659
2103.084807331236,1946.1316552800045,2227.8644718159626
2219.4231771668406,2047.5669572759562,2364.9979193025106
2341.600364617115,2153.76157353445,2500.3059965910943
2469.906182030903,2264.8863016874748,2647.379259575088
2604.6522343266633,2387.7041036219307,2805.9965253566265
2746.15947575005,2502.921831049783,2970.159089848628
2894.773652901979,2629.470881273339,3148.4200610163757
3050.8483305664686,2761.1309681386374,3340.2102943664336
3214.760690143073,2892.3827129588494,3543.0008688621074
3386.906850416319,3023.482219139906,3755.064656498028
3567.70158119556,3154.562842555413,3977.9396672871617
3757.5805970704455,3282.6133177918955,4213.265225472618
3957.0001421555403,3423.104509711048,4461.723863403973
4166.441392242452,3576.313165088928,4724.033600953985
4386.409797509499,3735.4731424916154,5000.9542158368495
4617.432953956981,3900.784661264135,5293.27586018986
4860.066808013022,4072.467844769809,5601.836517785504
5114.896873607949,4246.875967768035,5927.521213423354
5382.535896448207,4425.286075754085,6271.256556621082
5663.62845760609,4619.519735093423,6634.024257340449
5958.849771313229,4827.317383888424,7016.849019246162
6268.908754454879,5034.207312410321,7423.138524133943
6594.551875280675,5248.846717824173,7863.869190740106
6936.558839248195,5462.824984443963,8316.561908273885
7295.751691517719,5682.859840229632,8789.877954696958
7672.9905555090045,5911.449200651308,9289.075854338433
8069.17783225761,6173.531657990052,9815.542178701526
8485.26091693265,6446.4107811570575,10370.734184070589
8922.23462674715,6713.898229527131,10956.18346990523
9381.141310113348,6990.123692994868,11573.499820663463
9863.075308858655,7276.2652569827715,12224.37851874363
10369.181948282237,7572.596924807123,12910.595700350723
10900.665952161156,7879.425172834874,13634.027533560726
11458.787918626875,8197.053693446103,14400.157228976597
12044.86820803811,8503.075916186444,15208.07516053631
12660.29294943588,8792.408342013485,16059.80910252723
13306.515931258305,9087.531275022935,16957.66396798927
13985.05602692738,9388.264095062339,17904.066933308848
14697.509138877496,9694.400894407376,18901.56141673593
15445.541459135231,10005.648650689229,19952.81146257347
16230.901055491426,10321.738015825893,21060.616645546004
17055.420479695007,10642.344841536473,22227.91973670667
17921.010536889255,11010.988349317318,23457.792259430957
18829.67809676636,11389.162154905956,24753.46915389636
19783.518267942494,11776.223862670635,26118.332088398354
20784.72185477411,12172.115864208048,27555.919269609094
21835.584310842416,12576.762398065657,29069.95289379594
22938.498702353416,12990.045971259548,30664.320726940205
