exposed_mean,exposed_lb,exposed_ub
3.9496252243690275,-0.9448377350584725,7.643616696577043
7.979838155056922,4.336022806726825,11.88099422918581
10.900219454461492,7.080640617159737,16.073872161281013
13.365497043195464,8.565096026316962,19.60409911736032
15.709431170825551,10.158633847142289,22.694152750580468
18.106313266075503,11.938943847063348,25.769115616328264
20.69885958712517,14.002271674836718,29.11162049450917
23.56858747546846,16.379711283754737,32.719753440815744
26.78874591246763,19.03239398096144,36.677157151929975
30.41950582342656,22.122554671085055,41.03866307445764
34.52831584484106,25.695356638855795,45.870825824072845
39.19518846998977,29.61588158104603,51.21532861382868
44.480016148336055,34.041640915159704,57.045407275747294
50.47967043121399,39.23288357766671,63.36536113462985
57.29679282492305,44.14259483756539,70.42651936526205
65.032531016807,50.04669955424143,78.48901187116476
73.82742180748161,56.782764396723586,87.48449357072963
83.83045102344053,64.4589208214577,98.07750019912368
95.24336381928144,73.29566004863037,110.5344768074154
108.10916721089399,82.91763892346496,125.45324908544941
122.77142390966434,93.14864390282597,141.92134785082342
139.4722095551807,103.00037318979662,160.0843913816394
157.9701422777754,110.07389506928853,182.33437988843852
178.19732361745133,140.11122915851772,206.36844687059934
200.89739367005265,166.95368113915433,232.27355293129523
225.74882760893618,187.89319656698967,261.2475394613866
251.45433435580742,215.4934167638421,289.28393638734815
275.63090643528767,229.70689894061434,312.9672242759244
296.85922401796194,251.8768642187129,338.4321615634086
314.80906240688836,265.6851452206785,357.8069077681583
329.42435889306677,283.17005640579623,369.11560260712486
346.2028087481239,307.55248586505303,383.39821236764817
365.4569296353282,330.088975173803,401.038459345819
386.7025741904251,353.49654418742887,421.0994553774323
409.7054564354065,378.0046810546703,443.29881370908527
434.3741752979953,403.626552541428,467.48217542529545
460.69940409503886,430.95327069560597,493.2821939544284
488.7161656544358,460.1003380276593,520.6486827251944
518.4929219927899,489.78969807627414,549.2902981108532
550.1186845152397,520.857089325267,578.1286978729682
583.6916704179308,556.0210205038729,610.9060076082255
619.3359769822652,592.0710909831016,646.5144846105724
657.1635729315046,627.930604999868,685.2806689427769
697.315633263494,665.6367941243233,726.0353572238027
739.9273555634288,702.3777244426811,771.2824465058841
785.1468455818102,740.34895322986,821.419348004368
833.1320605014429,782.5194488745223,872.9641928613747
884.0549482371382,823.4049111596257,929.5407489353173
938.095682655929,867.8006826188264,993.2275379279374
995.4429302590695,916.9745990417853,1062.0259196820728
1056.2985979340356,968.6559892604082,1135.544068400005
1120.8755973878253,1019.3310367232534,1212.524197860349
1189.4002604998689,1072.5395372439355,1294.4155455876491
1262.1116988976141,1128.407440622515,1381.7793272213744
1339.2625265288673,1187.0657811421527,1474.935037097066
1421.1220806916162,1248.6171369057784,1574.2599437852052
1507.975728410769,1313.2186187259658,1680.1572969153515
1600.1254238145082,1380.9956322901028,1793.0544932997195
1697.8892208242733,1452.0870045019938,1913.401200772451
1801.6058277139073,1526.6393566420338,2041.6802889729645
1911.6323888779,1603.458116156075,2178.400699438171
2028.348459128933,1681.9786902892051,2324.1048150678566
2152.1545626349052,1763.9895703677616,2480.1233540494864
2283.4712345978296,1849.6092403724801,2646.9650772896875
2422.7464018959827,1938.910622554995,2824.7557619311237
2570.4505084757097,2032.0617758129724,3014.1840069556033
2727.0815966880605,2129.1981556376613,3215.4566186039565
2893.1671284159115,2230.4510602086807,3429.725388268946
3069.2602535224228,2335.9470492369906,3657.8795451168235
3255.9457237127735,2445.820486081786,3900.8150036943366
3453.8401390882336,2560.204854897087,4159.463766589556
3663.5949396732967,2679.237250332918,4434.761566147704
3885.8951284551017,2803.053231172514,4727.734328342502
4121.460756796856,2931.7862278209545,5039.462891213681
4371.048243407053,3065.5686993105987,5371.077748068357
4635.453050961136,3204.5279263655643,5723.773372873574
4915.510840574702,3348.791967925919,6098.807037780121
5212.097124443256,3498.4805034295237,6497.498738209296
5526.130212951419,3653.732615253137,6921.235427033143
5858.571041789672,3814.6894393485927,7371.471202170493
6210.426335278115,3981.4694816475917,7849.732538636944
6582.746071278872,4154.207313156041,8357.612832863017
6976.626205203407,4333.019023939727,8896.790234079344
7393.207086969586,4518.034954445022,9469.174235248876
7833.676805462647,4709.382850114975,10076.404558571761
8299.268856488887,4907.192323394885,10720.37347662589
8791.263094679089,5111.606754636587,11403.032365257946
9310.98151515588,5322.769082199069,12126.39741533339
9859.790498535665,5540.832628041255,12892.554573289754
10439.095589664143,5765.956178810734,13703.648470185513
11050.346296209216,5998.314703528601,14561.891657536013
11695.023596285346,6238.106485326389,15469.543120427774
12374.640638820401,6485.548998889535,16428.90670472266
13090.740334079876,6740.8813965037125,17442.32676443521
13844.883859804142,7004.393084213626,18512.169869063524
14638.64949723526,7276.411093371264,19640.81859000483
15473.619318071447,7557.311110674518,20830.64748097217
16351.378197482363,7847.53666475544,22084.0206814161
17273.49653351319,8147.591310832071,23403.261130406863
18241.523724225546,8458.073457833194,24790.63903575088
19256.972044343303,8779.680716385361,26248.352209684446
20321.30284350074,9113.218796479461,27778.504844110128
21435.91002052429,9459.610521739995,29383.058133052313
22602.101242717767,9819.92176843524,31063.806406374923
23821.081658528517,10195.380236958854,32822.326386863104
25093.932752134362,10587.395790261553,34659.953114324715
26421.588524023166,10997.574224123604,36584.813813557645
27804.808742846275,11427.733662305907,38594.160098537184
29244.15817861035,11879.934889982193,40685.800546939616
30739.97309530138,12356.478149883456,42859.738658532595
32292.336545177885,12859.921476266263,45115.53277667977
33901.04923876336,13393.092698645974,47452.21977720316
35565.601672027944,13959.121971040498,49868.273814123415
37285.14162602932,14561.434953309708,52361.55184050498
39058.444852406385,15203.741455171621,54929.240877686534
40883.88407402756,15890.023620096043,57567.80728987516
42759.40609690806,16624.516956072017,60272.95444418342
44682.500597962055,17411.720909738924,63039.5832380066
46650.17873287707,18256.363317794858,65861.75315509611
48658.957778063246,19163.303099872654,68732.65813108206
50704.8458027428,20137.49281306762,71644.60822858488
52783.32370449676,21183.94583527508,74589.00774720489
54889.342693743485,22307.639914975814,77556.36968460798
57017.329581396945,23513.417620626235,80536.32632350517
59161.189760929774,24805.839390231195,83517.65366346511
61314.323343281525,26189.07536534848,86488.31200864515
63469.65283404344,27666.80547065239,89435.50574383304
65619.6500818387,29242.138720875926,92344.2264584254
67756.37970939472,30917.420148803343,95199.35681658283
69871.54287587591,32694.01036602327,97988.64989314582
71956.53264031252,34572.26791373269,100697.16502209037
74002.49965947022,36551.3724189932,103310.44109318529
76000.42613312967,38629.20891471437,105810.10925894324
77941.20325695747,40802.303882306864,108170.73248935545
79815.71356168987,43065.729197965185,110389.08838711001
81614.90957237354,45413.03778447052,112450.61342233603
83329.90598242273,47836.25133587296,114341.34944981514
84952.07547493346,50325.89687395032,116047.984860153
86473.13960927929,52871.045623579164,117558.2111310683
87885.25463268733,55459.39313178401,118860.79025797368
89181.09461924955,58077.38769439453,119945.70802900259
90353.93138917789,60710.35367929437,120804.3211316676
91397.71176995343,63295.14495444131,121429.4773387686
92307.12072373819,65809.12924751216,121815.62325022514
93077.64152678987,68291.24857824971,121958.89524913795
93705.59775175698,71294.58774423676,121857.1641046863
94188.19133291203,74187.05734474158,121510.07857341925
94523.52553038372,76440.45696955983,120919.07232793875
94710.61918331195,78461.15296097622,120104.94767626506
94749.40818257659,80368.68520453719,119057.62209470758
94640.73155163258,82003.91953474184,117781.39162635134
94386.3090734442,83037.02530529267,116284.33924393353
93988.71024053083,84411.94325630835,114575.99295454173
93451.31465375931,85072.13103707698,112667.21902291081
92778.25674091029,85305.8281359103,110571.56551303934
91974.36824754058,85457.42596301857,108301.1043856915
91045.11471388044,85283.63696608758,105869.4250049391
89996.52609808557,84736.05698351802,103841.82734413982
88835.12360053317,84160.66501777674,101147.89151302038
87567.84362267466,83393.00166312377,99387.33235825461
86201.96278175352,81972.24133282824,98094.44960661029
84745.02228923795,80464.85516326378,95262.85983863799
83204.75160690802,78902.47864696174,93450.44120057672
81588.99775421614,77236.70402546861,92967.20578206205
79905.65398572825,75474.07858767008,92484.4788310645
78162.5987690548,73411.87694809727,91835.10002741186
76367.63344826415,71221.13982965262,91027.41668646764
74528.42703241501,69002.36540850694,90070.47706233118
72652.46646754746,66691.88581073066,88973.88687507146
70747.01048359081,64255.96989202388,87747.70075689365
68819.05491321044,61732.97131016583,86402.27924176489
66875.29643054874,59249.827572569964,84948.12768507915
64922.10836430192,56751.59569507104,83395.81044631242
62965.51736093898,53970.40970467651,81755.85243197692
61011.18658498765,51096.464266656134,80038.63844969944
59064.405346678366,48301.368253015986,78254.32715315337
57130.08024426763,45671.59031807901,76412.8036599259
55212.73466439832,43141.14747078783,74523.58850685216
53316.509594078576,40511.43166790985,72595.79933014972
51445.163600722604,38009.61042722156,70638.1152869154
49602.08370415021,35702.21357614449,68658.74084381075
47790.297146306446,33486.85531586379,66665.38855045236
46012.477347875436,31366.113193315403,64665.259783407455
44270.962154887144,29340.72298134743,62665.040426125604
42567.76958961526,27410.01927588635,60670.89026055433
40904.60961364335,25572.88558193088,58688.46055048418
39282.9035300564,23827.819563539157,56722.893359707596
37703.80135125475,22172.96926570044,54778.83475309689
36168.199911775184,20606.199600188374,52860.453965817134
34676.76346693149,19125.126292149784,50971.46021409461
33229.9384544681,17728.329515901263,49115.11816050939
31827.971839627357,16394.208192531136,47294.28557948837
30470.926256755356,15135.49432483013,45511.41876548403
29158.6978086736,13952.498028880502,43768.59989560068
27891.035108958025,12842.180621592874,42067.565627122676
26667.554593343204,11801.46116119698,40409.73856517221
25487.750764768076,10827.241514842695,38796.23946351642
24351.011117761478,9916.422522570978,37227.914856458876
23256.63218561928,9061.639668975076,35705.35916241477
22203.831539282586,8262.340627902217,34228.939334343006
21191.756004046063,7517.847743682891,32798.80943464316
20219.494846233552,6825.243225389477,31414.941913293467
