ARmaior,Sexo,Armenor,NomeMunic,0 a 5,5 a 10,10 a 15,15 a 20,20 a 25,25 a 30,30 a 35,35 a 40,40 a 45,45 a 50,50 a 55,55 a 60,60 a 65,65 a 70,70 a 75,75 a 80,80 a 85,85 a 90,90+,Total
ACRE,f,1200013,Acrelândia - AC,767.6572,767.7928,801.7916,845.3606,807.8045,749.6571,608.1777,646.8772,586.665,437.9251,406.8437,308.4212,206.4557,174.3118,114.3817,75.16636,36.20747,19.92715,7.837699,8369.261579
ACRE,f,1200054,Assis Brasil - AC,525.0774,527.2499,521.5815,497.1235,442.069,402.3819,329.538,300.0322,253.8376,212.3602,169.4191,122.4704,100.3654,67.42821,40.44873,38.78302,18.79434,9.571784,9.018801,4587.550985
ACRE,f,1200104,Brasiléia - AC,986.8388,1024.884,1081.099,1201.66,1140.168,1031.791,1012.124,941.1411,854.9808,726.8952,586.3176,438.2222,330.3237,276.4326,213.5974,147.8214,87.42088,37.60553,25.5493,12144.872510000003
ACRE,f,1200138,Bujari - AC,460.2039,453.1159,464.4069,493.5845,468.4625,422.1158,412.4701,369.2685,344.5368,244.2861,230.8566,176.4813,160.9173,131.8885,84.21118,48.73089,21.26138,10.88971,10.42333,5008.1111900000005
ACRE,f,1200179,Capixaba - AC,602.6851,566.9667,533.2982,652.6219,675.3786,529.6894,437.4555,392.2821,363.2649,367.3351,254.3666,230.8139,180.0281,116.2725,90.40004,56.00698,28.76885,14.48972,7.366551,6099.490741000001
ACRE,f,1200203,Cruzeiro do Sul - AC,4028.432,4234.754,4524.113,4692.891,4285.94,3530.922,3173.843,3170.275,2609.893,2156.431,1612.146,1258.973,1082.397,800.7731,573.4065,513.3466,304.2736,173.8551,111.9106,42838.575499999984
ACRE,f,1200252,Epitaciolândia - AC,772.2976,795.2481,877.7615,872.5081,917.47,874.4179,750.9971,734.0699,625.6995,505.7263,456.2959,371.8176,239.1691,206.6098,141.8878,106.9578,63.24782,31.1638,20.80882,9364.154440000002
ACRE,f,1200302,Feijó - AC,2096.112,2105.518,2228.515,2104.668,1674.713,1328.868,1134.56,1011.317,842.3568,686.9168,622.3896,425.9829,361.1887,273.058,214.6262,171.3609,85.46136,41.78995,35.7853,17445.18751
ACRE,f,1200328,Jordão - AC,721.9218,630.2636,592.6013,561.5954,439.6196,337.684,264.9213,240.0323,187.6088,136.2431,91.77976,66.11057,54.63777,28.21966,25.19675,15.94028,14.84048,2.6168,4.057032,4415.890301999999
ACRE,f,1200336,Mâncio Lima - AC,1038.905,1046.459,1065.772,997.796,884.8052,736.7111,656.9275,709.5109,534.1551,437.6311,312.6246,253.6018,230.1782,166.8318,102.9608,94.07086,45.86606,26.40277,18.04744,9359.257230000001
ACRE,f,1200344,Manoel Urbano - AC,477.5399,460.543,478.7462,453.2085,392.7761,334.1847,303.7839,324.8607,274.4043,210.6698,151.1038,126.4799,105.0478,67.2689,42.94916,34.53275,26.43079,15.76026,10.27185,4290.56231
ACRE,f,1200351,Marechal Thaumaturgo - AC,1697.648,1578.418,1450.834,1319.183,1071.564,866.9173,597.2782,561.4089,391.6022,340.2494,205.7526,197.7315,119.9897,94.65719,61.91729,56.5299,31.40182,12.63993,5.542771,10661.265700999998
ACRE,f,1200385,Plácido de Castro - AC,740.06,746.9057,850.2549,860.1768,816.428,613.7554,596.4398,594.1357,561.6871,524.3938,428.1226,376.864,252.7453,235.206,153.9181,105.2289,73.38478,31.95816,16.91701,8578.582049999999
ACRE,f,1200393,Porto Walter - AC,1079.104,972.8701,895.5152,828.9985,653.6224,415.9192,376.2827,358.1154,297.5788,213.0402,152.7476,104.7541,90.2092,63.69446,34.79545,30.34164,18.51783,8.467434,7.444874,6602.019087999999
ACRE,f,1200401,Rio Branco - AC,15185.96,16494.08,18334.22,19633.07,20228.89,19142.48,18146.89,17513.04,15826.51,12439.94,10704.15,8068.664,6460.055,4769.07,3279.649,2287.335,1392.845,711.3358,469.5622,211087.74599999998
ACRE,f,1200427,Rodrigues Alves - AC,1452.103,1354.445,1264.715,1333.39,1126.532,885.5971,707.5547,746.9448,600.9148,444.1707,303.3932,238.0098,168.0938,124.6479,98.62825,62.31074,35.51489,18.27657,9.013515,10974.255765000004
ACRE,f,1200435,Santa Rosa do Purus - AC,648.9775,550.0413,496.562,462.9648,394.9632,343.7784,314.9061,237.4778,152.0201,130.8552,79.76335,58.54676,47.60723,32.13212,29.91903,15.38974,8.730884,2.623002,3.017048,4010.2755640000014
ACRE,f,1200450,Senador Guiomard - AC,743.9563,769.3853,890.2804,943.5153,878.3317,779.6177,691.1327,712.6862,625.7042,570.5118,458.9627,392.4431,321.277,265.5692,176.2303,130.5056,86.80419,36.43044,23.01697,9496.361100000002
ACRE,f,1200500,Sena Madureira - AC,2085.358,2091.366,2118.837,2283.095,2196.028,1936.48,1792.561,1698.772,1464.238,1083.576,826.9954,649.7684,519.6204,436.7797,325.0358,222.6546,132.1575,76.56095,51.26739,21991.151140000005
ACRE,f,1200609,Tarauacá - AC,2816.308,2727.17,2745.397,2649.546,2070.928,1682.782,1385.57,1301.157,1050.556,845.9984,702.1553,542.2615,410.2618,300.3197,242.1391,193.8025,98.70318,58.05533,39.76656,21862.877370000002
ACRE,f,1200708,Xapuri - AC,842.7272,848.2141,933.8568,995.7927,883.0166,799.2445,721.3732,708.5103,647.0839,486.4071,415.3291,329.8597,282.1506,182.2442,184.2456,111.558,73.40404,38.01481,24.95313,9507.98558
ACRE,f,1200807,Porto Acre - AC,737.125,731.312,774.8383,855.2499,808.4929,687.0007,660.2138,593.085,590.7062,484.4343,427.4822,289.7232,235.281,201.5847,151.4557,120.6258,51.96274,39.56499,14.42175,8454.56018
ACRE,m,1200013,Acrelândia - AC,802.2246,799.0092,835.5113,853.5574,862.549,724.0339,620.2933,623.4213,585.4554,543.2719,436.3752,392.4896,292.3461,232.1148,158.5551,93.16982,49.73774,29.9923,10.7286,8944.83656
ACRE,m,1200054,Assis Brasil - AC,543.9575,539.2006,530.0696,459.933,375.6385,369.8044,325.9689,318.3897,265.3267,212.1831,191.37,143.6429,127.2792,73.0426,60.64873,34.24051,20.3309,10.31494,5.977199,4607.318979
ACRE,m,1200104,Brasiléia - AC,1036.419,1077.218,1224.665,1263.355,1115.289,1054.726,970.3144,864.2634,876.3698,718.8246,660.1046,472.3102,382.193,268.7925,205.9668,131.0586,98.26079,52.35543,27.60507,12500.091190000001
ACRE,m,1200138,Bujari - AC,516.9614,544.848,574.7747,608.2824,571.5901,423.602,370.4022,378.1416,424.248,314.2133,275.1603,210.0808,208.4984,163.2144,106.3604,77.84847,30.45818,12.30568,11.49649,5822.48682
ACRE,m,1200179,Capixaba - AC,645.8117,620.3531,674.6708,709.1522,661.4451,527.6179,387.9043,391.3439,367.6165,326.2764,340.3186,262.4117,214.085,143.5948,114.2132,65.82125,34.50102,13.30473,8.334888,6508.777087999999
ACRE,m,1200203,Cruzeiro do Sul - AC,4128.923,4239.162,4483.963,4731.974,4246.809,3468.776,3116.342,3074.791,2682.406,2046.251,1525.499,1185.158,914.6639,725.3125,531.0249,384.9725,222.6325,120.9251,85.57147,41915.156870000006
ACRE,m,1200252,Epitaciolândia - AC,820.0798,854.4685,889.4715,973.7736,864.6198,815.8662,705.9743,632.0725,578.4728,561.3575,461.8439,377.6856,275.16,226.6199,154.0931,118.0588,62.36118,36.08834,19.50349,9427.570810000001
ACRE,m,1200302,Feijó - AC,2239.897,2291.06,2365.043,2233.35,1915.582,1459.852,1324.607,1072.711,961.9861,790.2646,660.9989,512.7012,379.4133,259.8758,229.7316,140.4897,74.36415,48.57065,26.78475,18987.28275
ACRE,m,1200328,Jordão - AC,769.8969,683.0578,617.6227,564.7263,481.4923,349.787,324.386,261.2618,224.4052,172.1433,119.2397,78.74372,51.37054,38.47257,13.81088,12.704,7.993714,2.903509,5.163498,4779.181431
ACRE,m,1200336,Mâncio Lima - AC,1122.222,1163.532,1173.573,1117.181,960.7122,738.5141,680.6401,681.4821,595.3416,444.1456,333.0585,261.9892,216.9875,164.6844,127.7556,91.63361,55.87234,19.25689,12.49067,9961.072409999999
ACRE,m,1200344,Manoel Urbano - AC,523.4634,527.3197,555.2183,570.3867,515.5138,388.0338,329.5878,327.4633,306.9812,231.8618,189.6956,133.2929,117.1776,84.95325,64.436,33.90778,27.44752,15.45794,5.877131,4948.075521
ACRE,m,1200351,Marechal Thaumaturgo - AC,1820.844,1730.305,1532.103,1429.222,1221.673,997.8931,703.5395,652.136,481.9247,392.7962,279.2296,198.5918,157.8536,98.05154,79.52937,34.14323,25.41884,14.35225,6.234961,11855.841691000003
ACRE,m,1200385,Plácido de Castro - AC,798.0755,827.695,958.0941,1011.598,778.6555,704.2323,577.1436,599.3745,556.9748,504.8388,475.8001,425.818,349.7306,269.1096,202.3829,114.2705,81.15067,36.83127,25.41053,9297.186270000002
ACRE,m,1200393,Porto Walter - AC,1168.253,1086.558,1003.764,895.0965,714.077,501.735,414.968,388.2708,331.7219,254.2898,191.8074,120.2569,103.2932,74.99043,41.37222,27.63188,15.20462,8.844496,6.316202,7348.4513480000005
ACRE,m,1200401,Rio Branco - AC,15627.07,16643.67,18212.14,19396.66,19950.87,18099.76,17459.04,16395.6,13879.42,11112.17,9272.328,6992.519,5450.335,4106.447,2694.991,1645.552,941.7454,475.7644,317.9093,198673.99110000004
ACRE,m,1200427,Rodrigues Alves - AC,1557.311,1484.456,1361.92,1473.625,1197.921,867.6593,751.7657,702.595,628.202,514.9556,358.1722,301.1359,189.1538,166.2344,113.4569,77.80938,36.84912,14.34437,9.462573,11807.029243
ACRE,m,1200435,Santa Rosa do Purus - AC,693.229,598.0534,500.7773,511.4156,379.3248,374.4526,377.1078,270.2883,191.3322,109.9973,78.15649,67.29417,51.88418,29.13757,32.8496,11.59639,4.34984,2.912722,1.862663,4286.021924999998
ACRE,m,1200450,Senador Guiomard - AC,775.2028,796.0313,921.4966,977.7137,875.3285,732.733,685.0834,692.7692,618.7869,589.2673,497.0415,376.9629,335.5886,259.7959,184.8416,152.2373,81.11482,44.09904,26.68057,9622.774929999998
ACRE,m,1200500,Sena Madureira - AC,2184.696,2187.264,2289.52,2474.75,2371.134,2049.528,1913.504,1799.629,1579.161,1189.57,921.998,753.2483,587.6981,416.2372,291.2244,223.1475,110.7836,75.67699,45.34254,23464.11263
ACRE,m,1200609,Tarauacá - AC,3009.67,2967.838,2988.8,2759.978,2281.287,1820.588,1461.301,1440.83,1123.943,879.8697,730.6387,612.3639,415.1428,348.8607,238.103,165.9832,106.6288,62.19189,37.70843,23451.726119999996
ACRE,m,1200708,Xapuri - AC,895.0078,911.6654,952.09,1023.395,1012.773,867.8445,733.1769,740.9107,619.6687,621.6583,490.9616,357.2649,320.472,232.7218,185.8646,107.134,67.03721,34.95922,23.9893,10198.594930000003
ACRE,m,1200807,Porto Acre - AC,796.78,814.231,903.7079,979.8777,862.7156,710.9653,524.9523,535.2495,551.2514,464.7931,434.2023,364.0384,293.6733,237.7359,191.7877,116.5892,72.75703,37.54782,19.54969,8912.40514
ALAGOAS,f,2700102,Água Branca - AL,816.2431,841.2769,889.3622,921.9526,877.1891,747.135,662.0481,635.345,614.6215,560.0742,489.4693,422.7452,321.176,283.8361,267.8704,209.9169,126.9634,77.12764,45.8955,9810.248140000002
ALAGOAS,f,2700201,Anadia - AL,609.1415,645.7047,717.7995,737.0953,712.6888,697.5257,613.7644,630.8217,594.2879,562.6939,481.5111,426.35,343.773,271.3954,224.6419,178.847,132.0068,49.16987,33.78983,8663.0083
ALAGOAS,f,2700300,Arapiraca - AL,8183.425,8675.31,9491.574,10283.96,11214.05,10590.86,10224.69,9991.53,9243.548,7644.326,7380.33,5773.958,4686.737,3942.558,2919.672,2062.261,1246.932,643.4405,324.4759,124523.6374
ALAGOAS,f,2700409,Atalaia - AL,2040.545,2044.568,2158.248,2306.66,2240.891,1902.39,1748.169,1748.511,1600.287,1265.861,1112.371,945.9033,826.3185,672.3427,441.1829,251.0127,187.4359,99.12312,59.59271,23651.412830000005
ALAGOAS,f,2700508,Barra de Santo Antônio - AL,748.5853,757.3627,748.6604,828.0391,908.1962,765.0631,660.067,631.6105,572.3866,505.0944,393.8876,321.3268,289.6627,202.3795,130.1485,101.1109,56.2574,22.92215,14.03873,8656.799579999999
ALAGOAS,f,2700607,Barra de São Miguel - AL,340.4423,349.7032,341.2748,390.5169,455.8566,350.4702,353.739,354.5907,367.8203,233.5113,244.0437,191.3179,140.2703,90.07232,61.55516,41.35186,26.6235,13.05041,9.459879,4355.670329
ALAGOAS,f,2700706,Batalha - AL,718.519,744.6125,779.7834,912.904,867.2672,803.9546,805.5665,695.7241,647.9836,543.0865,514.6266,404.6014,335.4608,274.1771,208.6634,164.1012,80.87695,57.98141,33.78591,9593.67617
ALAGOAS,f,2700805,Belém - AL,109.641,117.1203,135.0118,147.8735,154.0609,140.3873,148.2733,160.7248,144.3841,138.817,108.8824,114.5626,86.36253,79.3978,75.16765,51.15786,35.46353,16.68665,10.93942,1974.91444
ALAGOAS,f,2700904,Belo Monte - AL,262.0148,268.0588,282.2238,337.8565,343.2873,308.3033,244.5423,235.7259,212.9447,188.3365,215.3474,152.9196,132.8925,96.11393,73.6318,52.78685,36.59826,23.41161,10.35954,3477.35539
ALAGOAS,f,2701001,Boca da Mata - AL,982.4311,1013.892,1079.537,1232.218,1266.74,1140.107,976.8778,1065.398,968.794,830.4868,740.258,585.2581,485.3223,439.948,290.6367,205.2606,139.7786,64.64238,42.04549,13549.63187
ALAGOAS,f,2701100,Branquinha - AL,415.7781,409.6683,440.1473,500.2577,463.7664,406.0445,342.9502,378.7566,324.2162,285.4354,239.2059,204.7041,189.1391,156.0132,86.49303,67.85453,50.28981,15.58396,10.6605,4986.96483
ALAGOAS,f,2701209,Cacimbinhas - AL,391.7994,398.4947,429.3756,408.6307,450.4102,410.8537,409.8864,380.892,366.5324,288.4169,281.8726,256.9234,219.7024,176.7809,142.3356,131.3515,71.71285,43.62143,23.36996,5282.96264
ALAGOAS,f,2701308,Cajueiro - AL,910.0564,914.4069,941.081,1062.868,1089.208,903.469,839.5817,822.7552,684.5145,601.0737,538.419,433.8213,332.9218,300.4265,208.2219,170.432,86.12214,49.05067,24.74266,10913.17237
ALAGOAS,f,2701357,Campestre - AL,288.314,291.3529,309.5795,323.8034,349.4171,279.6054,229.8284,254.1579,247.8228,231.9368,164.9068,137.9429,108.1315,84.55621,66.68581,43.18383,37.75041,18.83413,7.829429,3475.639219
ALAGOAS,f,2701407,Campo Alegre - AL,2690.188,2805.187,2797.283,3019.94,3072.313,2716.637,2663.19,2322.822,1980.282,1572.814,1204.805,979.4123,859.9701,704.673,517.3691,299.1132,191.2755,71.58507,37.24379,30506.103059999994
ALAGOAS,f,2701506,Campo Grande - AL,329.2077,335.4998,350.2271,408.4983,436.1544,384.611,363.783,342.8626,295.7006,261.5611,234.9673,198.4711,166.1525,154.7365,108.4664,76.42036,58.37834,23.41345,17.79806,4546.909610000001
ALAGOAS,f,2701605,Canapi - AL,767.8771,744.0534,772.241,842.7716,764.4924,635.5307,560.012,537.2365,492.4111,420.301,404.0441,377.9204,268.8828,237.3825,190.8297,164.8344,96.14448,39.80183,30.89877,8347.665780000001
ALAGOAS,f,2701704,Capela - AL,614.3944,622.7527,687.0494,802.7468,759.6176,590.9234,544.9444,583.333,535.5938,483.0858,429.6154,356.8874,278.7313,238.6806,178.9165,132.1032,85.01869,37.8579,33.00327,7995.255559999999
ALAGOAS,f,2701803,Carneiros - AL,528.8177,504.3431,503.5781,541.8291,503.7242,441.4013,363.6731,308.3149,255.1632,253.3665,205.0009,165.7787,141.6348,92.93506,108.4606,59.92493,54.05705,26.85603,14.73981,5073.59908
ALAGOAS,f,2701902,Chã Preta - AL,274.4252,280.1692,291.4291,312.2278,264.4111,238.1454,216.4258,239.4484,261.9927,194.6886,170.9201,144.6757,118.0867,105.849,82.4434,68.65667,35.47879,12.43785,11.32114,3323.232649999999
ALAGOAS,f,2702009,Coité do Nóia - AL,348.0518,369.7041,412.0964,468.216,418.8643,400.5707,352.3505,364.9794,334.4245,284.165,323.7843,240.6908,226.1634,198.7522,146.3232,108.8998,73.00064,33.4063,18.04528,5122.48862
ALAGOAS,f,2702108,Colônia Leopoldina - AL,983.4419,976.9988,1016.164,1158.711,1054.079,915.6787,780.3773,824.0877,746.0748,606.8387,521.4213,370.187,355.614,281.427,206.985,150.1835,102.1505,44.03855,29.39819,11123.856939999998
ALAGOAS,f,2702207,Coqueiro Seco - AL,206.771,215.3815,241.5417,241.5188,252.5083,224.0212,244.9408,233.163,199.2505,197.949,173.4058,125.9268,102.9636,103.6638,71.22455,40.10277,37.32535,17.33364,12.69807,2941.6901799999996
ALAGOAS,f,2702306,Coruripe - AL,582.0249,582.9093,590.1587,677.1721,690.5741,630.5532,535.892,520.7748,479.5653,401.487,292.1017,256.1937,214.8116,135.7272,126.7794,74.55457,42.98828,35.28209,17.96575,6887.515690000001
ALAGOAS,f,2702355,Craíbas - AL,972.1547,989.7756,1011.608,1106.674,1210.601,985.2324,957.1472,820.2744,783.6202,640.7097,670.7975,526.7885,462.1235,406.3438,270.3203,202.7962,112.3836,61.93158,36.87609,12228.15827
ALAGOAS,f,2702405,Delmiro Gouveia - AL,1962.007,2081.093,2218.31,2349.66,2335.067,2114.415,2295.253,2070.604,1984.878,1606.093,1481.902,1279.892,1011.612,865.5325,679.2869,444.0116,299.6802,159.9712,99.36006,27338.62846
ALAGOAS,f,2702504,Dois Riachos - AL,395.2937,401.9513,437.2244,430.1102,478.7961,437.5604,387.2509,391.4744,384.1758,302.034,276.1157,245.7374,187.956,163.9208,127.4364,109.1732,61.24541,28.10805,18.86998,5264.43414
ALAGOAS,f,2702553,Estrela de Alagoas - AL,611.9163,659.7098,688.3861,748.4013,734.3125,674.4357,649.8535,639.2091,632.6766,496.2532,479.3558,438.3416,397.0748,351.9989,334.0574,234.0183,124.6089,72.58145,41.61567,9008.806919999999
ALAGOAS,f,2702603,Feira Grande - AL,823.2057,862.8858,946.6642,889.3533,941.5233,879.4635,800.6653,824.9123,738.5043,588.4046,565.7246,464.837,387.7552,329.5747,257.0093,199.0724,125.6738,76.48076,37.15873,10738.868789999997
ALAGOAS,f,2702702,Feliz Deserto - AL,189.8651,189.5226,209.5818,208.8526,231.5751,230.8248,184.7537,192.6636,160.3186,134.5788,123.039,103.5869,85.13314,69.03423,52.57203,29.10785,24.38676,12.64948,5.635312,2437.6814019999997
ALAGOAS,f,2702801,Flexeiras - AL,506.5887,496.2371,531.7735,621.9558,601.384,523.3656,425.9512,414.6595,429.5422,348.6567,340.0005,272.2727,216.2378,180.8311,115.3078,89.98742,51.06699,25.98905,20.41906,6212.22672
ALAGOAS,f,2702900,Girau do Ponciano - AL,1840.317,1889.352,1841.372,2227.929,2141.214,1843.124,1807.562,1561.4,1419.225,1075.92,1031.401,895.1724,702.7805,627.1656,447.9845,286.6622,185.9567,96.42739,54.39594,21975.36123
ALAGOAS,f,2703007,Ibateguara - AL,630.7284,631.7691,655.605,705.016,754.9481,563.2686,513.1063,524.1651,465.4984,398.079,379.4492,331.1855,278.4964,230.6165,158.3511,136.1155,81.90295,46.85699,27.61283,7512.77097
ALAGOAS,f,2703106,Igaci - AL,850.4946,921.2955,1035.292,1046.15,974.2807,935.4419,944.9918,966.9316,864.2734,728.9535,736.1075,597.4653,504.2216,482.1925,361.8213,272.4857,154.6292,98.24495,67.92804,12543.201089999999
ALAGOAS,f,2703205,Igreja Nova - AL,948.1069,999.0339,980.0255,1095.133,1087.002,1061.403,1047.88,934.2195,787.4325,707.8383,626.799,501.4179,463.8168,337.4333,261.3698,199.8384,127.0295,90.35036,63.87328,12320.002940000002
ALAGOAS,f,2703304,Inhapi - AL,794.4599,780.254,792.1965,872.672,837.0782,670.3315,686.3476,586.8783,505.5923,444.6693,424.7806,382.0259,265.7183,257.0982,204.2138,168.8046,114.038,67.735,30.78035,8885.674350000001
ALAGOAS,f,2703403,Jacaré dos Homens - AL,205.9792,207.388,227.1728,252.0291,214.82,205.2373,209.5821,181.3429,178.0659,148.2557,141.9687,141.8592,98.11731,68.64904,65.74829,40.99606,27.49902,15.51285,12.70073,2642.9242
ALAGOAS,f,2703502,Jacuípe - AL,283.643,280.2018,305.2577,314.8307,369.7675,280.2792,246.4165,252.4964,211.769,209.4444,177.0429,136.8573,114.2764,77.44084,63.96159,49.08451,24.37931,12.33684,9.224651,3418.710541
ALAGOAS,f,2703601,Japaratinga - AL,368.3697,367.709,413.8741,459.2007,363.5122,352.3648,300.8384,307.5281,286.335,248.0751,186.7475,158.2587,133.9071,109.0593,73.46196,47.84149,26.94748,14.61489,13.54019,4232.185709999999
ALAGOAS,f,2703700,Jaramataia - AL,198.5745,199.1835,216.7335,238.7992,249.9792,219.1261,231.8127,191.4484,183.0229,168.2814,146.059,148.6249,92.9639,62.99104,62.71428,40.65303,22.99041,15.12819,8.756051,2697.842201
ALAGOAS,f,2703759,Jequiá da Praia - AL,2383.587,2484.871,2626.366,2967.323,2826.629,2720.359,2636.667,2695.601,2292.025,1904.844,1645.768,1435.452,1096.28,842.2045,537.6089,395.6559,264.9874,131.1897,78.21402,31965.632420000005
ALAGOAS,f,2703809,Joaquim Gomes - AL,1059.971,1036.206,1106.235,1185.443,1041.585,859.5267,767.614,792.3762,709.6279,640.4096,545.6292,456.5431,368.7434,288.4822,175.5264,127.3954,89.12499,38.57435,33.80029,11322.81373
ALAGOAS,f,2703908,Jundiá - AL,141.7782,144.6794,163.2734,176.522,202.2603,150.8275,149.0006,135.3384,144.8563,125.2174,126.7481,88.80278,73.76149,56.49737,46.11247,33.97908,18.51223,9.502166,8.850511,1996.5196970000004
ALAGOAS,f,2704005,Junqueiro - AL,814.5218,854.1726,922.2099,1108.256,1058.702,990.5265,933.4757,918.2368,869.6407,697.6891,647.611,524.909,446.4603,360.8713,273.9115,215.9998,140.3623,75.77159,54.93467,11908.262560000003
ALAGOAS,f,2704104,Lagoa da Canoa - AL,536.3786,567.6968,649.8281,750.5593,694.6799,628.014,575.5802,568.1176,605.4854,494.0911,533.7433,426.2438,348.8341,313.4084,265.2835,187.2074,94.88136,52.33043,34.183,8326.546290000002
ALAGOAS,f,2704203,Limoeiro de Anadia - AL,1000.693,1029.323,1060.582,1281.756,1289.123,1246.423,1241.081,1081.174,998.311,827.8685,782.9119,651.3584,505.3841,461.9335,369.3429,258.3304,161.8289,85.83156,44.973,14378.229159999999
ALAGOAS,f,2704302,Maceió - AL,31745.12,34193.96,38869.07,43182.33,48398.72,46368.38,46875.87,46585.46,44009.16,39776.01,35820.18,29604.92,24033.09,18818.97,13484.11,8748.709,5753.824,3055.741,1878.071,561201.6950000002
ALAGOAS,f,2704401,Major Isidoro - AL,737.4238,757.6653,792.0407,900.3037,910.3125,806.2049,817.0115,742.8423,670.9086,556.524,541.6283,443.098,378.5202,319.4643,232.6917,207.3698,113.1618,69.61256,44.97231,10041.756269999998
ALAGOAS,f,2704500,Maragogi - AL,1613.575,1600.618,1566.484,1714.719,1803.349,1672.189,1409.852,1400.301,1202.734,1037.376,851.5608,636.5769,475.4267,370.7459,235.7383,189.115,105.8917,45.68109,30.39954,17962.33293
ALAGOAS,f,2704609,Maravilha - AL,273.3368,276.7313,323.4597,302.0664,305.4299,283.636,299.4491,286.0729,295.0427,234.507,246.8187,228.9011,176.9688,148.5661,119.9952,95.64748,65.04196,30.17144,17.4552,4009.29778
ALAGOAS,f,2704708,Marechal Deodoro - AL,2098.657,2155.783,2211.156,2439.736,2740.636,2420.645,2277.274,2289.322,2251.893,1779.223,1581.253,1292.765,1037.797,773.2648,489.8318,333.3429,214.5275,97.2429,74.19686,28558.546760000005
ALAGOAS,f,2704807,Maribondo - AL,391.0966,416.4605,472.0445,556.6036,536.0112,452.5041,484.3856,491.8223,498.8022,374.1539,394.6629,307.1942,284.8342,233.7765,195.3644,143.5777,101.1012,54.83112,33.09424,6422.320960000001
ALAGOAS,f,2704906,Mar Vermelho - AL,98.44482,107.2113,125.7563,132.9343,114.4959,120.6725,100.6111,143.3993,127.7625,124.0697,117.182,80.04484,79.44186,79.01485,55.10966,33.10197,24.41202,23.15623,8.097236,1694.918386
ALAGOAS,f,2705002,Mata Grande - AL,1077.845,1071.503,1093.042,1153.681,1132.571,913.9611,836.103,766.7461,702.95,594.9894,597.9868,496.8827,405.3649,357.6048,324.5541,216.3066,144.6332,77.44012,59.97123,12024.13605
ALAGOAS,f,2705101,Matriz de Camaragibe - AL,919.319,920.4197,942.7479,1157.526,1183.154,974.7544,886.6278,923.1217,856.9836,713.2818,665.6797,493.4806,488.4296,357.9467,239.0284,168.9913,102.4095,51.16554,34.71255,12079.77979
ALAGOAS,f,2705200,Messias - AL,902.7421,903.005,868.2054,1012.324,1078.002,819.8328,734.1368,773.87,647.6787,539.5537,458.997,377.4038,297.4118,213.5515,153.9103,106.4442,71.80527,25.45308,21.06722,10005.39467
ALAGOAS,f,2705309,Minador do Negrão - AL,159.4836,173.3085,207.8194,203.9882,211.6162,199.929,186.58,183.778,199.2546,174.6013,164.5456,119.2897,110.7907,103.7047,82.84916,49.04755,30.40485,14.31311,12.414,2587.7181699999996
ALAGOAS,f,2705408,Monteirópolis - AL,284.2666,282.9813,296.607,340.8371,341.5898,273.0,243.6575,245.87,227.6093,182.839,183.3984,120.9061,117.1436,105.7946,81.45431,60.96119,46.40279,21.60502,14.56825,3471.49186
ALAGOAS,f,2705507,Murici - AL,1197.09,1207.739,1274.315,1393.295,1344.177,1199.159,1065.893,1076.633,897.6691,825.1322,721.5862,545.506,453.5049,355.5253,264.8736,180.1255,123.6707,68.08226,43.84092,14237.817679999998
ALAGOAS,f,2705606,Novo Lino - AL,607.7695,612.8632,631.7475,634.5957,641.807,556.575,541.6108,463.7856,450.5027,352.1352,320.8391,244.9912,215.7632,169.1471,126.2333,89.64054,56.4374,24.1817,19.2997,6759.925440000001
ALAGOAS,f,2705705,Olho d'Água das Flores - AL,796.4417,816.0113,875.0345,974.8694,1058.876,872.6639,858.5431,730.6711,745.7399,632.0043,611.6858,476.9761,399.8488,306.8716,260.6491,187.8787,124.418,67.00887,63.62179,10859.81396
ALAGOAS,f,2705804,Olho d'Água do Casado - AL,439.1167,436.9412,433.5115,441.8971,458.5511,429.4199,402.0639,331.5658,287.502,243.6209,234.2144,184.7376,131.8394,122.003,81.49532,80.02123,37.61555,22.63848,14.81382,4813.5689
ALAGOAS,f,2705903,Olho d'Água Grande - AL,229.3764,227.4269,252.1518,233.5385,239.8764,188.0771,180.5459,184.7117,168.8604,125.7278,101.377,106.9518,81.63869,79.87194,65.67788,48.12678,28.07454,17.36061,8.458667,2567.830807
ALAGOAS,f,2706000,Olivença - AL,436.3276,435.8087,440.4797,551.6947,564.0174,453.002,448.0146,373.8979,360.4503,316.4941,276.5549,231.4554,202.9282,182.1117,130.636,110.8961,75.9352,38.2257,30.42193,5659.352130000001
ALAGOAS,f,2706109,Ouro Branco - AL,471.9866,474.8168,506.7021,536.7532,531.0411,438.1148,447.5541,369.6254,376.6456,302.2727,300.677,272.6611,198.8901,164.0185,134.4737,105.9247,61.87941,33.36026,31.72123,5759.118399999999
ALAGOAS,f,2706208,Palestina - AL,251.3555,246.6123,246.9098,271.9759,313.6042,224.8138,197.7069,184.4827,172.3639,140.9811,135.9601,91.24564,88.16137,68.24945,77.75938,43.97554,41.41121,15.17783,13.06087,2825.8074899999997
ALAGOAS,f,2706307,Palmeira dos Índios - AL,2287.801,2474.717,2820.073,2947.317,2964.289,2752.691,2859.078,2943.598,2710.517,2372.583,2203.404,1902.873,1535.673,1406.441,1124.127,852.6263,548.9538,301.1995,164.5232,37172.484800000006
