ARmaior,Sexo,Armenor,NomeMunic,0 a 5,5 a 10,10 a 15,15 a 20,20 a 25,25 a 30,30 a 35,35 a 40,40 a 45,45 a 50,50 a 55,55 a 60,60 a 65,65 a 70,70 a 75,75 a 80,80 a 85,85 a 90,90+,Total
PARAÍBA,m,2515302,Sapé - PB,1893.924,1821.011,1999.076,2249.101,2165.62,2006.758,1839.045,1890.561,1856.038,1518.131,1439.304,1200.201,1016.331,783.4758,674.1772,447.2313,288.1517,136.5316,82.61004,25307.278639999993
PARAÍBA,m,2515401,São Vicente do Seridó - PB,504.2402,466.8048,448.5976,579.9074,565.7953,536.9667,508.0691,399.2838,382.8195,284.4541,263.0803,229.1073,179.1833,130.1722,129.3678,81.12957,66.34396,18.88537,17.54829,5791.756589999999
PARAÍBA,m,2515500,Serra Branca - PB,444.4731,428.7758,486.9903,527.1001,445.7867,441.7303,440.7079,459.0538,431.7389,413.8886,398.3982,389.0636,270.9705,254.5018,195.3702,150.0117,117.8978,57.46956,42.23399,6396.1628500000015
PARAÍBA,m,2515609,Serra da Raiz - PB,110.9835,105.0165,121.9723,125.9864,136.975,126.1636,112.2033,135.5189,111.5085,102.6581,62.93071,66.01958,62.48617,46.57918,40.61627,30.67292,28.23144,10.95021,7.610766,1545.083346
PARAÍBA,m,2515708,Serra Grande - PB,123.3242,119.6699,125.3629,122.4218,119.3312,139.9526,125.1191,117.8761,96.34224,85.11497,86.75383,79.47423,50.44629,38.86133,41.90483,26.72561,18.99377,9.551267,6.778961,1534.0051280000002
PARAÍBA,m,2515807,Serra Redonda - PB,239.9516,223.1794,259.282,241.4458,253.9157,255.9631,234.6527,229.227,204.1828,223.0311,182.683,172.2368,140.3369,114.9979,93.58641,59.42174,48.95434,31.32066,19.6487,3228.0176500000007
PARAÍBA,m,2515906,Serraria - PB,244.1443,231.846,267.4166,268.849,235.8886,201.0166,191.644,173.3015,174.5736,186.7964,162.0394,136.5495,141.2072,100.3563,79.05763,65.88102,48.70127,18.64869,13.16798,2941.0855899999997
PARAÍBA,m,2515930,Sertãozinho - PB,189.0925,172.7778,176.869,237.9772,208.3865,185.7518,137.9189,165.5165,148.7016,156.0045,130.988,110.4481,63.03857,63.24795,68.06277,57.11724,36.64926,20.76796,13.08432,2342.4004700000005
PARAÍBA,m,2515971,Sobrado - PB,291.3769,281.3751,322.7425,335.1148,327.6808,317.5172,302.6046,277.7533,258.5344,244.7877,230.3469,165.8089,129.0382,115.783,87.61409,74.29148,51.55799,18.90236,10.26989,3843.1001099999994
PARAÍBA,m,2516003,Solânea - PB,822.5504,789.9609,920.872,982.9503,885.0088,773.0,717.215,747.2536,755.1778,685.5074,630.2876,597.4756,434.4332,375.7451,342.1207,257.1726,183.3327,94.21666,52.96779,11047.24815
PARAÍBA,m,2516102,Soledade - PB,601.3086,565.7068,627.1619,675.642,607.0567,572.6419,596.7139,525.0679,544.4812,452.6778,373.4604,366.0525,258.3456,221.9549,174.351,131.7624,88.24568,33.03675,27.67865,7443.346579999999
PARAÍBA,m,2516151,Sossêgo - PB,167.1521,149.8282,150.504,155.2507,162.6757,141.7032,124.6026,118.796,119.94,95.11246,94.84846,69.20616,72.20893,45.82466,49.59548,23.37644,16.32279,9.66303,7.243109,1773.8540189999999
PARAÍBA,m,2516201,Sousa - PB,2227.48,2197.329,2561.985,2716.091,2541.19,2477.793,2481.942,2830.152,2600.673,2197.242,1877.768,1616.933,1189.028,915.1365,790.8591,564.2171,400.5234,182.5446,107.8354,32476.722100000003
PARAÍBA,m,2516300,Sumé - PB,505.5055,491.707,578.3629,623.8179,597.7397,602.6609,627.8267,652.6438,596.0017,563.6657,514.8418,446.8094,345.551,267.7317,280.5373,160.6622,117.7418,64.73589,45.97191,8084.514800000001
PARAÍBA,m,2516409,Tacima - PB,389.8974,384.3061,429.0528,432.4755,513.1266,477.636,472.9348,437.8714,421.0784,361.2768,316.7111,256.4779,151.5287,154.8227,137.8614,96.31627,72.73828,30.72983,19.19696,5556.038939999999
PARAÍBA,m,2516508,Taperoá - PB,620.7831,589.5054,681.3047,700.9999,678.1053,654.6204,670.0638,579.2601,513.8557,439.2927,411.0347,362.5892,277.9387,252.3441,216.5462,154.9757,90.13098,47.18568,35.0399,7975.57626
PARAÍBA,m,2516607,Tavares - PB,553.9286,538.9041,601.0695,711.6646,582.4145,581.0834,580.2295,517.118,498.187,426.5486,362.8171,345.0752,231.9864,204.8609,173.2627,137.7002,82.70801,38.433,22.14896,7190.140270000002
PARAÍBA,m,2516706,Teixeira - PB,716.8691,669.8963,695.2986,732.8408,734.1663,658.9459,648.594,609.0102,517.5443,441.7187,382.3805,286.9489,272.4033,222.4077,177.5322,108.9986,72.28532,25.27249,20.83581,7993.949019999999
PARAÍBA,m,2516755,Tenório - PB,118.5528,112.2949,123.6662,149.6453,143.7934,150.9955,152.1944,129.7895,108.662,81.35385,66.67263,69.10362,55.76995,32.07592,41.155,28.16259,9.517194,7.046381,5.588052,1586.0391870000003
PARAÍBA,m,2516805,Triunfo - PB,334.6322,325.2191,356.9136,395.0603,384.3764,381.1215,363.2598,357.6026,272.6284,280.8745,221.9848,196.9564,187.7811,183.8328,125.6937,106.0255,64.51653,33.53469,19.92824,4591.9421600000005
PARAÍBA,m,2516904,Uiraúna - PB,496.6096,488.0492,552.4268,531.5052,547.8051,519.7246,606.5065,589.9337,530.4064,434.5381,426.9505,390.5423,288.6911,267.5976,213.6708,169.8158,119.766,48.81253,39.14418,7262.49601
PARAÍBA,m,2517001,Umbuzeiro - PB,354.6844,342.1862,387.5716,372.1175,393.8945,394.6839,361.4873,320.8363,275.755,258.3501,238.309,180.6942,169.7911,133.829,133.1392,94.11774,62.07617,29.79314,20.46606,4523.782409999999
PARAÍBA,m,2517100,Várzea - PB,82.55138,79.53539,93.28482,116.312,99.08837,94.24164,123.3804,92.22537,99.12379,84.1667,68.67815,80.94939,53.33632,49.77753,40.03598,29.06767,30.64713,11.87334,6.349485,1334.6248550000003
PARAÍBA,m,2517209,Vieirópolis - PB,155.8013,159.339,180.746,228.2365,168.5009,207.1016,185.4492,186.8574,183.4544,157.4994,141.1583,134.545,118.9883,116.9405,95.11701,62.70899,44.88508,16.35085,12.44294,2556.12267
PARAÍBA,m,2517407,Zabelê - PB,86.93762,84.28885,101.9427,110.8748,92.24455,85.06193,80.36919,84.3026,72.05298,61.61774,70.91135,57.31623,37.94866,26.68286,34.63769,18.52119,12.2123,4.881103,4.508256,1127.3125989999999
PARANÁ,f,4100103,Abatiá - PR,203.4973,203.9412,204.5199,212.0357,258.1397,264.0041,251.187,235.0964,244.0149,277.222,276.6924,263.3175,232.1214,184.076,148.933,109.9749,78.20405,41.59975,19.06896,3707.64616
PARANÁ,f,4100202,Adrianópolis - PR,212.064,206.9941,215.6235,215.265,203.1606,185.9579,164.9287,201.7895,169.194,194.3223,188.9762,190.3435,155.2611,134.9503,102.8718,83.90452,55.9851,30.87857,19.69513,2932.1658199999997
PARANÁ,f,4100301,Agudos do Sul - PR,335.365,314.0474,312.719,311.5241,391.3891,342.7376,301.1857,280.2927,276.8434,286.0152,292.5389,268.4927,234.9568,162.8525,145.658,87.88274,63.83667,20.0603,17.9977,4446.395509999999
PARANÁ,f,4100400,Almirante Tamandaré - PR,5147.656,4779.02,4393.63,4530.175,5363.447,5321.466,4793.998,4804.586,4358.317,4075.319,3683.67,3078.007,2499.011,1784.315,1173.967,769.7283,434.6102,219.832,130.1402,61340.89470000001
