ibgeID,populacao,beta,gamma,R0
3550308,12142621.23,0.35841565524845403,0.1610416665087389,2.225608210711137
3205200,499833.6095,0.1949169119175254,0.07832101795550533,2.4886922694015405
2910800,625594.0163,0.17469297319495983,0.09728227997324972,1.795732719699787
3304557,6592227.51,0.4173025155978527,0.1703033672250718,2.450348001906201
5300108,3052546.0,0.4192609450409913,0.19903196744026708,2.106500530709062
2704302,1042028.3114000002,0.19973754377643393,0.1246917986680288,1.601849888365168
3547304,156506.41682000004,0.13413020574562495,0.050979757465701436,2.631048330033075
3122306,241184.57110000006,0.11715117153315979,0.04762832905023652,2.4596951828730598
3303302,497883.51799999987,0.2600582620989783,0.09877650725336053,2.632794672845964
4314902,1480501.192,0.4026252596341646,0.1681463421510168,2.3944931211917533
2611606,1607059.229,0.3778184336867607,0.19609237027265713,1.9267370431670652
4305108,535142.471,0.1566690473257071,0.04786528522538411,3.273124699623053
4106902,1927079.2810000002,0.4061293460581842,0.1998436609925932,2.032235318553519
4105508,85585.0123,0.23270288672966247,0.1880477742546498,1.2374668493259686
3515707,200006.32060000004,0.09107552070242216,0.047652108821395416,1.9112589758363427
4205407,505272.9184,0.3620342754589254,0.1899072054307195,1.906374614053283
5218805,262963.84959999996,0.23780432901674958,0.19995977974135162,1.1892608069700314
5208707,1509378.8079999997,0.35313372826424166,0.19799436603321297,1.7835544280335964
2408102,867882.399,0.2299601814289172,0.04928919885386683,4.66552889428586
2927408,2831557.625,0.43733214455248004,0.1959330400402989,2.232048992158397
1302603,2216197.0045000003,0.4509367518537506,0.19977308672344954,2.2572447532834725
4209102,603550.0746000002,0.18435242006488076,0.06127121537561706,3.0087932634390664
5002704,895602.5879999999,0.37182926978479625,0.19998010820370096,1.8593312761189662
3136702,573549.5835,0.25628365955126375,0.11422976255435645,2.2435804279056493
2800308,677228.6136,0.3150179906520621,0.19951662092327457,1.5789060038922988
3203205,179687.4972,0.12028492810265579,0.04895603050296096,2.456999206571307
3205309,371536.33460000006,0.3473783878987604,0.19067261544338654,1.8218577801063525
3510609,396906.6873,0.10989942624913651,0.04761351552188892,2.308156099051612
4202800,33218.79806,0.30457905250110673,0.20009879498556868,1.5221433618481974
3548708,831146.9700000001,0.32706377015691035,0.12890348397607973,2.537276418514822
3548807,159433.25170000002,0.35939889460057517,0.19704030452253363,1.8239866989216622
2304400,2651799.62,0.5290410019758655,0.18438256081967916,2.869257263940771
2301000,83096.69234000001,0.2921964287798039,0.1765032139254141,1.6554737009110718
3106200,2469866.5940000005,0.5100266766237682,0.19573688701652198,2.6056748137652628
2925303,162991.82011000003,0.29971472592551207,0.19888038097453986,1.5070100150496029
2607901,688566.3665,0.21852444096855278,0.16727797974667322,1.3063550940744713
1200401,409761.7371,0.4126048634806579,0.20003585680563818,2.0626545163928243
3547809,704264.7479999999,0.41763743748721993,0.1922645962771325,2.1722014638890266
3144805,99553.22337999998,0.3486218955931518,0.18127200952081515,1.9231976106775612
3170206,715639.9759000001,0.2698707347046719,0.14121719159686227,1.911033151509495
4119152,132613.87952999998,0.13224234698233292,0.06798146721162701,1.945270562794138
4113700,574366.2418,0.22175733989434374,0.05445662210508507,4.072183167483618
1721000,357030.58547000005,0.3144604922264334,0.19971308157772974,1.574561314372605
4202008,154969.1874,0.3177168016417738,0.19952486183652302,1.592366979820736
4115200,441327.9943,0.21887340552704024,0.07930860765065874,2.7597686053340045
4108304,252873.9216,0.31497599240090407,0.19576318460695372,1.608964387421984
1501402,1359971.2759999998,0.337355178485613,0.15596171576602844,2.1630640367646925
2507507,847296.4659,0.23763563876623972,0.05944866023310845,3.9973253868872636
3549805,465423.2221,0.12686389517671365,0.04753693946236752,2.668743436399499
3509502,1208953.0650000004,0.23824082523334328,0.04979902850646465,4.784045640617589
3518800,1389885.3065,0.3528739774268985,0.1675619499754513,2.1059314329929704
3505708,278576.0577,0.23232832025594852,0.04755312987698493,4.8856578075293475
3513009,271550.128,0.23001372576691936,0.05224527639579359,4.402574579650198
4218707,104927.50899999999,0.3162522626001415,0.1995892701037282,1.5845153521318183
42,10000.0,0.2515161182106262,0.19907424428446588,1.2634287228599186
2312908,218694.09999999998,0.24666007863563288,0.1998941301711424,1.2339535854527148
4321501,38433.52644,0.28499967521182107,0.20008968988836726,1.424359622781295
4216602,246946.0185,0.33415242962046454,0.19986191796305242,1.67191645625175
2919207,226770.56710000001,0.33011419044041307,0.1929193981403133,1.7111508413493797
4301602,4605.15173,0.3674212399232498,0.19983276122656782,1.8386436621704503
4317103,75723.74450000003,0.2436145113993597,0.19788498530281975,1.2310914394367056
2211001,9360.25707,0.3723676210125345,0.19945990023381582,1.8668796112703783
1600303,510840.4706,0.23186075518133797,0.04755697724064083,4.875430875434119
4208203,224216.8731999999,0.41633714501845764,0.20000747744297623,2.081607899570449
4207304,44092.62300000001,0.2682850230093362,0.19409125597419152,1.382262285143903
4204608,198896.3189,0.4099948770427842,0.19912985641984124,2.058932218473354
4204202,224747.887,0.26772894409288067,0.19912355625970682,1.344536774663141
3303906,293045.2790999999,0.2548690627770699,0.1989980356139143,1.2807617019474185
4304606,346893.0936,0.3290708460083336,0.19996677643253463,1.6456275981393162
3201308,379728.03670000006,0.15204705812492497,0.049186876162157195,3.091211924572374
2111300,1080405.7489,0.4174406394262968,0.0860996699808582,4.848341921857572
2403251,313580.99250000005,0.3197623610787567,0.1630576265528743,1.961038976457002
3534401,680046.9637,0.33638409716413237,0.04764152430181266,7.060733301334223
3549904,738489.9617999999,0.2420816440132107,0.08072117651186217,2.998985575707463
