state,populacao,beta,gamma,R0
TOTAL,217026005,0.3866938519191029,0.15609267424568957,2.477335043350257
SP,45919049,0.39403354609173713,0.19345023464762223,2.0368729291514476
RJ,17264943,0.4286309421641742,0.19777218604148744,2.16729637641897
ES,4018650,0.28391861101443305,0.13179104011756915,2.1543089026473483
BA,14873064,0.3643426417032264,0.17718827026987133,2.056245829073813
DF,3015268,0.4191459385331914,0.20007857011359004,2.0949067073761616
AL,3337357,0.17757438499334446,0.07456145946735485,2.3815840819356766
MG,21168791,0.4143981062112785,0.19578511230042892,2.1165966162707592
RS,11377239,0.42816373580687617,0.18371647714125752,2.330567962489646
PE,9557071,0.400238716166446,0.19881178373937922,2.013153891778949
PR,11433957,0.4418538321852698,0.19489162253987874,2.2671771440296653
SC,7164788,0.44435325681778737,0.185084424264229,2.4008138911971475
GO,7018354,0.3724499343059583,0.18316708752217703,2.033388963838079
RN,3506853,0.2834168506880138,0.06709859269139377,4.223886661699919
AM,4144597,0.43152895571555716,0.1737821491967193,2.483160426489326
MS,2778986,0.3628220120358068,0.17132281885729062,2.1177681668781796
SE,2298696,0.32795114682385373,0.19642986475860075,1.6695584819899147
CE,9132078,0.5462316278768499,0.20004772863647155,2.730506522618243
AC,881935,0.41303121983752666,0.18342956390007295,2.2517156507144835
TO,1572866,0.3312702887836769,0.19974612409811973,1.658456654813235
PA,8602865,0.4160189544770796,0.19661812856393202,2.115872821675279
PB,4018127,0.33930767643482873,0.16432750984256317,2.0648257662999234
PI,3273227,0.37272026906620753,0.18350737882344728,2.031091455046079
RO,1777225,0.3136040307863691,0.19994233513191337,1.5684723826970743
AP,845731,0.23156230801228844,0.04768089285923726,4.856501087257381
MA,7075181,0.4360489610538522,0.10945911717131832,3.9836696323009497
MT,3484466,0.4115912414760028,0.1743221281139677,2.361095782440851
RR,605761,0.4438946524084672,0.19840700395808233,2.2372932585698906
